# ALPHA = 0.05
# NUMBER_OF_TESTS = 15484

# _SET1_  VARIABLE = Curated_gene_sets:reactome_neuronal_system (set)
# _SET1_  NGENES = 385
# _SET1_  P-VALUE = 2.7511e-06
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000176204     2   76974845   77820445   2643     110  391279      -0.5738      0.18244   -8.8818e-15      -0.5738
_SET1_   ENSG00000162951     2   80515483   80531874     27       7  396062       0.9191     0.069209   -8.8818e-15       0.9191
_SET1_   ENSG00000115665     2  108602979  108630450     71      21  398970      0.30619      0.18238   -8.8818e-15      0.30619
_SET1_   ENSG00000115109     2  120770581  120936695    280      12  400921    -0.044747      0.27299    -8.854e-15    -0.044747
_SET1_   ENSG00000152086     2  130949318  130956034      5       1  411531      -1.6888      0.90291   -8.8818e-15      -1.6888
_SET1_   ENSG00000075886     2  132233666  132240507     18       1  410061     -0.45942      0.58709   -8.8818e-15     -0.45942
_SET1_   ENSG00000182389     2  152689290  152955593    629      32  395397      0.67063     0.064101   -8.8818e-15      0.67063
_SET1_   ENSG00000162989     2  155554811  155714863    460      53  398178       2.1786    0.0015246   -8.8818e-15       2.1786
_SET1_   ENSG00000184611     2  163227917  163695240    853      54  395441        -1.34      0.65974   -8.8818e-15        -1.34
_SET1_   ENSG00000128683     2  171669723  171717661    124      16  394390      -1.6839       0.8567   -8.8818e-15      -1.6839
_SET1_   ENSG00000138435     2  175612320  175629200     45       7  395388      -1.5413      0.84434   -8.8818e-15      -1.5413
_SET1_   ENSG00000115419     2  191745553  191830278    111      14  403896        0.886     0.068325   -8.8818e-15        0.886
_SET1_   ENSG00000118260     2  208394461  208468155    107      13  383065       2.9773   0.00019026   -8.8818e-15       2.9773
_SET1_   ENSG00000178568     2  212240446  213403565   4087     185  393163    -0.058871     0.082732    -8.854e-15    -0.058871
_SET1_   ENSG00000115592     2  219687106  219696809      9       4  386675     -0.48021      0.51701   -8.8818e-15     -0.48021
_SET1_   ENSG00000127824     2  220114433  220142892     63       7  356410     -0.22389      0.42415    -8.854e-15     -0.22389
_SET1_   ENSG00000135902     2  233390703  233401377     28       6  394230     -0.26261      0.39193   -8.8818e-15     -0.26261
_SET1_   ENSG00000196811     2  233404437  233411113     23       6  400090      -1.4092      0.81167   -8.8818e-15      -1.4092
_SET1_   ENSG00000134072     3    9799026    9811676     20       7  359500      0.71003      0.10879   -8.8818e-15      0.71003
_SET1_   ENSG00000132164     3   10857885   10982419    362      37  384636      0.45161      0.11656   -8.8818e-15      0.45161
_SET1_   ENSG00000157103     3   11034410   11080933    158      37  394768       3.1189   7.8515e-05   -8.8818e-15       3.1189
_SET1_   ENSG00000183960     3   19189946   19577138    525      46  360246      0.27802      0.14326   -8.8818e-15      0.27802
_SET1_   ENSG00000114302     3   48782030   48885279     71      12  400926       0.4575      0.15282   -8.8818e-15       0.4575
_SET1_   ENSG00000114353     3   50263724   50296787     37      11  394156       2.4047    0.0021348   -8.8818e-15       2.4047
_SET1_   ENSG00000007402     3   50400233   50541675    188      17  387619       1.9502    0.0055251   -8.8818e-15       1.9502
_SET1_   ENSG00000157445     3   54156574   55108584   2739     183  391051      -1.7422      0.61024   -8.8818e-15      -1.7422
_SET1_   ENSG00000144746     3   69134095   69155217     52       8  403210      -1.0253      0.67556   -8.8818e-15      -1.0253
_SET1_   ENSG00000173175     3  123001143  123168605    344      24  391791     -0.43939      0.36809   -8.8818e-15     -0.43939
_SET1_   ENSG00000169282     3  155755490  156256545   1322      64  356875   -0.0038959       0.1237   -8.8558e-15   -0.0038959
_SET1_   ENSG00000121871     3  164904508  164914897     17       5  401284     -0.13826      0.37749    -8.854e-15     -0.13826
_SET1_   ENSG00000114200     3  165490692  165555260    181      20  380201       1.3615     0.023592   -8.8818e-15       1.3615
_SET1_   ENSG00000169760     3  173114074  174004434   2340     129  394147      0.17243     0.056104    -8.854e-15      0.17243
_SET1_   ENSG00000197584     3  177990720  178562217   1617      87  396397       1.0521     0.010483   -8.8818e-15       1.0521
_SET1_   ENSG00000171121     3  178957530  178984790    127      17  395150       0.2867      0.17222   -8.8818e-15       0.2867
_SET1_   ENSG00000114450     3  179116990  179169378     87      13  393332     -0.20946      0.33669    -8.854e-15     -0.20946
_SET1_   ENSG00000186090     3  183749332  183757157     37       8  400182      0.79028     0.085259   -8.8818e-15      0.79028
_SET1_   ENSG00000178084     3  183770835  183778459     26       7  382418       1.9129    0.0066635   -8.8818e-15       1.9129
_SET1_   ENSG00000186038     3  183814852  183824783     19       5  400725       1.4957     0.020148   -8.8818e-15       1.4957
_SET1_   ENSG00000161203     3  183892477  183901879     22       7  408830       1.9065    0.0072663   -8.8818e-15       1.9065
_SET1_   ENSG00000196083     3  190231840  190375843    460      69  392524      0.35024      0.13735   -8.8818e-15      0.35024
_SET1_   ENSG00000075711     3  196769431  197026171    621      26  389919     -0.43486      0.33215   -8.8818e-15     -0.43486
_SET1_   ENSG00000168993     4     778745     819986    172      25  389072      0.34172      0.15246   -8.8818e-15      0.34172
_SET1_   ENSG00000174343     4   40337346   40357234    104      10  404339       -1.422      0.79853   -8.8818e-15       -1.422
_SET1_   ENSG00000151834     4   46250444   46477247    474      30  397676       3.2837   2.1505e-05   -8.8818e-15       3.2837
_SET1_   ENSG00000109158     4   46920917   46996424    230      21  401690        2.576   0.00054601   -8.8818e-15        2.576
_SET1_   ENSG00000163288     4   46995740   47428461    981      65  396928       1.0778     0.018541   -8.8818e-15       1.0778
_SET1_   ENSG00000138744     4   76831809   76862204    136      14  403437      -0.9831      0.64977   -8.8818e-15      -0.9831
_SET1_   ENSG00000163110     4   95373037   95589377    470      25  397340      -1.4634      0.73992   -8.8818e-15      -1.4634
_SET1_   ENSG00000145349     4  114372188  114683083    708      52  395264     -0.78048      0.46323   -8.8818e-15     -0.78048
_SET1_   ENSG00000109738     4  157997209  158093242    313      20  394247      0.24059      0.19191    -8.854e-15      0.24059
_SET1_   ENSG00000120251     4  158125334  158287227    259      21  368543       1.5795     0.012168   -8.8818e-15       1.5795
_SET1_   ENSG00000145451     4  175558065  175750465    703      54  398830      0.82001     0.043517   -8.8818e-15      0.82001
_SET1_   ENSG00000142319     5    1392909    1445545    163      25  393579      0.29722      0.16485   -8.8818e-15      0.29722
_SET1_   ENSG00000078295     5    7396321    7830194   1099      77  385250       3.6658   1.2052e-06   -8.8818e-15       3.6658
_SET1_   ENSG00000079215     5   36606457   36688436    211      44  396218       1.3903     0.018764   -8.8818e-15       1.3903
_SET1_   ENSG00000132356     5   40759481   40798476     66      11  402087     -0.52069      0.47328   -8.8818e-15     -0.52069
_SET1_   ENSG00000164588     5   45259349   45696253    477      32  386635      0.89321     0.047657   -8.8818e-15      0.89321
_SET1_   ENSG00000152413     5   78668459   78810040    319      25  383787       1.3478      0.01874   -8.8818e-15       1.3478
_SET1_   ENSG00000113319     5   80256491   80525975    750      76  394158     -0.22211      0.25424    -8.854e-15     -0.22211
_SET1_   ENSG00000152495     5  110559351  110830584    695      44  398196      -1.8309      0.82406   -8.8818e-15      -1.8309
_SET1_   ENSG00000080709     5  113696642  113832337    300      32  390494       3.6401   6.2606e-06   -8.8818e-15       3.6401
_SET1_   ENSG00000146006     5  138204612  138211057      7       2  411645     -0.73669      0.62504   -8.8818e-15     -0.73669
_SET1_   ENSG00000070808     5  149599054  149669854    140      24  385681     -0.29064      0.35354   -8.8818e-15     -0.29064
_SET1_   ENSG00000145888     5  151202074  151304403    201      12  383169     0.055366      0.22831    -8.854e-15     0.055366
_SET1_   ENSG00000155511     5  152869175  153193429   1179      67  379443     -0.22204      0.18886    -8.854e-15     -0.22204
_SET1_   ENSG00000145864     5  160715436  160976050    609      37  400045       1.0076     0.035249   -8.8818e-15       1.0076
_SET1_   ENSG00000145863     5  160974069  161129599    312      21  388175       2.9175   0.00013103   -8.8818e-15       2.9175
_SET1_   ENSG00000022355     5  161274197  161326975    133      15  387997       1.6776     0.010634   -8.8818e-15       1.6776
_SET1_   ENSG00000113327     5  161494546  161582542    159      26  396859      -1.2826      0.73659   -8.8818e-15      -1.2826
_SET1_   ENSG00000145936     5  169801675  169816681     67      10  404381      0.32433      0.18817   -8.8818e-15      0.32433
_SET1_   ENSG00000137267     6    3153903    3157760      5       2  315131       1.6524     0.019256   -8.8818e-15       1.6524
_SET1_   ENSG00000137285     6    3224495    3231964      4       2  359938       2.2456    0.0058045   -8.8818e-15       2.2456
_SET1_   ENSG00000112294     6   24495080   24537435    168      24  393147       0.6339      0.10085   -8.8818e-15       0.6339
_SET1_   ENSG00000204681     6   29523406   29601753    278      27  363091       4.5955   6.7745e-08   -8.8818e-15       4.5955
_SET1_   ENSG00000137312     6   30695486   30710510     77       4  352775       1.8852     0.012329   -8.8818e-15       1.8852
_SET1_   ENSG00000124780     6   39266777   39282329     42      13  374486       0.3558       0.1747   -8.8818e-15       0.3558
_SET1_   ENSG00000095981     6   39282474   39290744     41       5  396697      -2.1163      0.94429   -8.8818e-15      -2.1163
_SET1_   ENSG00000156564     6   40359325   40555204    757      49  383211       1.0088     0.026027   -8.8818e-15       1.0088
_SET1_   ENSG00000079841     6   72596406   73112845   1282      42  400407        3.284   4.4572e-06   -8.8818e-15        3.284
_SET1_   ENSG00000185760     6   73331520   73908574   1398     101  395366       1.2053     0.010765   -8.8818e-15       1.2053
_SET1_   ENSG00000196586     6   76458909   76629254    284      17  400641      0.51626      0.11137   -8.8818e-15      0.51626
_SET1_   ENSG00000146276     6   89887220   89940997    222      29  399743     -0.32301      0.35123   -8.8818e-15     -0.32301
_SET1_   ENSG00000111886     6   89966927   90025018    202      37  391166      -1.6344      0.82606   -8.8818e-15      -1.6344
_SET1_   ENSG00000135355     6   90604188   90605839      1       1  413466     -0.61527       0.5662   -8.8818e-15     -0.61527
_SET1_   ENSG00000164418     6  101846664  102517958   1947     109  392300       1.8695   0.00067101   -8.8818e-15       1.8695
_SET1_   ENSG00000079819     6  131160487  131384462    665      32  392451      -2.0973      0.88863   -8.8818e-15      -2.0973
_SET1_   ENSG00000152822     6  146348782  146758734    768      39  394829      0.74644     0.049656   -8.8818e-15      0.74644
_SET1_   ENSG00000175003     6  160542821  160579750    104      22  390126     -0.14412      0.31476    -8.854e-15     -0.14412
_SET1_   ENSG00000112499     6  160592093  160698670    317      23  389516       1.8729    0.0046718   -8.8818e-15       1.8729
_SET1_   ENSG00000071242     6  166822852  167319939   1706     145  395347       4.5379   5.1069e-09   -8.8818e-15       4.5379
_SET1_   ENSG00000188191     7     588834     767287    546      50  388341      0.80053     0.052983   -8.8818e-15      0.80053
_SET1_   ENSG00000136238     7    6414154    6443608    122      18  398709      0.53056      0.12846   -8.8818e-15      0.53056
_SET1_   ENSG00000136279     7   44084239   44109055     76       9  379162     -0.43805      0.44972   -8.8818e-15     -0.43805
_SET1_   ENSG00000058404     7   44256749   44374176    311      26  391610      0.58075     0.094931   -8.8818e-15      0.58075
_SET1_   ENSG00000164742     7   45613739   45762715    424      47  391645     -0.80614      0.52251   -8.8818e-15     -0.80614
_SET1_   ENSG00000106089     7   73113536   73134002     35       9  396675       1.4987      0.01939   -8.8818e-15       1.4987
_SET1_   ENSG00000127955     7   79763271   79848718    196      28  384046      -1.4555       0.7848   -8.8818e-15      -1.4555
_SET1_   ENSG00000214415     7   80087987   80141336    127      16  359526       -2.156      0.94056   -8.8818e-15       -2.156
_SET1_   ENSG00000127928     7   93220885   93540577    868      52  396406      -2.6899      0.95934   -8.8818e-15      -2.6899
_SET1_   ENSG00000127920     7   93551011   93557922     22       8  383762     -0.67944      0.55144   -8.8818e-15     -0.67944
_SET1_   ENSG00000172354     7  100271154  100276797      7       4  376958       1.5768     0.022864   -8.8818e-15       1.5768
_SET1_   ENSG00000087085     7  100487615  100494594     15       6  408959       3.4537   3.5162e-05   -8.8818e-15       3.4537
_SET1_   ENSG00000005249     7  106685094  106802256    247      23  404982     -0.35349      0.37429   -8.8818e-15     -0.35349
_SET1_   ENSG00000184408     7  119913722  120390385    910      43  395400      0.39103     0.097802   -8.8818e-15      0.39103
_SET1_   ENSG00000055118     7  150642049  150675403     75      12  394493    -0.077588      0.29783    -8.854e-15    -0.077588
_SET1_   ENSG00000106617     7  151253197  151574210   1114     133  393844       0.3624     0.099776   -8.8818e-15       0.3624
_SET1_   ENSG00000198010     8    1449532    1656642    894      45  394675       2.7878   7.5151e-05   -8.8818e-15       2.7878
_SET1_   ENSG00000120903     8   27317279   27337400     82      15  400367      -1.1013       0.6936   -8.8818e-15      -1.1013
_SET1_   ENSG00000157168     8   31496902   32622548   3457     131  395331      0.44556     0.030759   -8.8818e-15      0.44556
_SET1_   ENSG00000147432     8   42552519   42592550    187       6  406246      0.87627     0.099155   -8.8818e-15      0.87627
_SET1_   ENSG00000147434     8   42607763   42651535     95      11  364577     0.019198      0.28352    -8.854e-15     0.019198
_SET1_   ENSG00000182674     8   73449626   73850584   1107      66  397219      0.45889     0.066507   -8.8818e-15      0.45889
_SET1_   ENSG00000156486     8   99439250   99445076      3       2  409396      0.92533     0.094775   -8.8818e-15      0.92533
_SET1_   ENSG00000104490     8  102698771  103137135   1237      74  387359      -1.6003       0.6956   -8.8818e-15      -1.6003
_SET1_   ENSG00000164794     8  110975874  110988076     19       6  395558     -0.12621       0.4017    -8.854e-15     -0.12621
_SET1_   ENSG00000155897     8  131792547  132054672    887      52  400112     -0.16085      0.20947    -8.854e-15     -0.16085
_SET1_   ENSG00000184156     8  133133108  133493200   1214      90  396701      0.52348     0.057436   -8.8818e-15      0.52348
_SET1_   ENSG00000169427     8  140613081  140715299    273      42  395108       2.6529   0.00037273   -8.8818e-15       2.6529
_SET1_   ENSG00000179526     8  145153536  145163027     15       3  396679      0.30111      0.25258   -8.8818e-15      0.30111
_SET1_   ENSG00000168263     9    2717502    2730037     30       8  375840      0.48775      0.14809   -8.8818e-15      0.48775
_SET1_   ENSG00000106688     9    4490444    4587469    325      41  399716      0.57033     0.094534   -8.8818e-15      0.57033
_SET1_   ENSG00000153707     9    8314246   10612723   9792     441  393270     -0.84714      0.24732   -8.8818e-15     -0.84714
_SET1_   ENSG00000198722     9   35161999   35405335    340      20  398677     -0.73277      0.51356   -8.8818e-15     -0.73277
_SET1_   ENSG00000165059     9   71627469   71629039      3       2  413305      0.02503      0.32885    -8.854e-15      0.02503
_SET1_   ENSG00000107282     9   72042446   72287222    549      31  396406      0.74741     0.057755   -8.8818e-15      0.74741
_SET1_   ENSG00000136928     9  101050391  101471479   1527     125  391408       1.3011    0.0080723   -8.8818e-15       1.3011
_SET1_   ENSG00000198785     9  104331635  104500862    643      27  398568      0.20819      0.13886    -8.854e-15      0.20819
_SET1_   ENSG00000242616     9  114423615  114432526     31       6  401382      0.40489      0.17206   -8.8818e-15      0.40489
_SET1_   ENSG00000136854     9  130374544  130457460     85      15  387295      -0.3216       0.4033   -8.8818e-15      -0.3216
_SET1_   ENSG00000160325     9  136325089  136335970     31       9  366174      0.35726       0.1809   -8.8818e-15      0.35726
_SET1_   ENSG00000176884     9  140032842  140063207     41       8  337717      0.32732      0.18108   -8.8818e-15      0.32732
_SET1_   ENSG00000188229     9  140135665  140138159      2       1  331592      -2.0008      0.95954   -8.8818e-15      -2.0008
_SET1_   ENSG00000148408     9  140772241  141019076    379      28  322144       1.1408     0.032381   -8.8818e-15       1.1408
_SET1_   ENSG00000173876    10      92828     120103     58      11  407334      0.86796      0.07698   -8.8818e-15      0.86796
_SET1_   ENSG00000178462    10    5435061    5446793     39       5  403405      -1.2298      0.76558   -8.8818e-15      -1.2298
_SET1_   ENSG00000165995    10   18429606   18830798   1506     112  397201       4.4659   1.0068e-08   -8.8818e-15       4.4659
_SET1_   ENSG00000136750    10   26505236   26593487    206      14  394850       0.4941      0.13199   -8.8818e-15       0.4941
_SET1_   ENSG00000070748    10   50817141   50901925    219      35  398306     0.026606      0.23662    -8.854e-15     0.026606
_SET1_   ENSG00000187714    10   50818347   50820765      4       2  409060       1.7898     0.018916   -8.8818e-15       1.7898
_SET1_   ENSG00000198739    10   68685764   68859588    443      37  400604      -1.1367      0.62947   -8.8818e-15      -1.1367
_SET1_   ENSG00000148660    10   75572259   75634343     76      10  394492      0.98117     0.059256   -8.8818e-15      0.98117
_SET1_   ENSG00000156113    10   78629359   79398353   2018     142  396816       1.4953    0.0023342   -8.8818e-15       1.4953
_SET1_   ENSG00000186795    10  118957000  118969810     70       6  396805     -0.30622       0.4376   -8.8818e-15     -0.30622
_SET1_   ENSG00000165646    10  119000604  119038941    109      23  389043       1.1341     0.039338   -8.8818e-15       1.1341
_SET1_   ENSG00000174775    11     532242     537287     24       5  382900      -1.8117      0.90718   -8.8818e-15      -1.8117
_SET1_   ENSG00000183020    11     924894    1012239    294      12  386305       0.1692       0.1838    -8.854e-15       0.1692
_SET1_   ENSG00000053918    11    2465914    2870339   1146     148  382622     -0.74109       0.4216   -8.8818e-15     -0.74109
_SET1_   ENSG00000170743    11    7260009    7490273    893      76  393938      -1.4241      0.68356   -8.8818e-15      -1.4241
_SET1_   ENSG00000166387    11    7534529    7678358    584      55  399409      -1.8781       0.8518   -8.8818e-15      -1.8781
_SET1_   ENSG00000187486    11   17407406   17410878     10       3  410834      0.43696      0.17865   -8.8818e-15      0.43696
_SET1_   ENSG00000006071    11   17414432   17498449    287      27  394404       1.6163    0.0093103   -8.8818e-15       1.6163
_SET1_   ENSG00000129159    11   17756359   17804602    127      20  395305      0.21053       0.2008    -8.854e-15      0.21053
_SET1_   ENSG00000148943    11   27516123   27528320     16       4  392281     -0.47086      0.48284   -8.8818e-15     -0.47086
_SET1_   ENSG00000182255    11   30031288   30038570      9       4  397448      -2.1555      0.95319   -8.8818e-15      -2.1555
_SET1_   ENSG00000110436    11   35272753   35441610    517      33  395375      -2.4521      0.94632   -8.8818e-15      -2.4521
_SET1_   ENSG00000011347    11   61282785   61348620     91      12  373111      0.15425      0.27958    -8.854e-15      0.15425
_SET1_   ENSG00000162188    11   62475130   62476673      2       1  292363       0.5678      0.30639   -8.8818e-15       0.5678
_SET1_   ENSG00000133318    11   63448918   63527363     90      11  377962      0.26098      0.21222   -8.8818e-15      0.26098
_SET1_   ENSG00000149782    11   64018995   64036622     28      10  370633       1.7767    0.0095434   -8.8818e-15       1.7767
_SET1_   ENSG00000182450    11   64058774   64067503      6       2  396369     -0.85142      0.68341   -8.8818e-15     -0.85142
_SET1_   ENSG00000110076    11   64373646   64490660    143      13  399145       3.2588   5.9899e-05   -8.8818e-15       3.2588
_SET1_   ENSG00000173338    11   65360326   65363467      3       2  394803     -0.71357      0.61405   -8.8818e-15     -0.71357
_SET1_   ENSG00000173621    11   66624118   66627946      2       1  300569        3.884    1.432e-05   -8.8818e-15        3.884
_SET1_   ENSG00000173227    11   66774249   66818334     43      15  380998       2.6407   0.00078571   -8.8818e-15       2.6407
_SET1_   ENSG00000131626    11   70116806   70230509    226       9  397664     -0.88793      0.61487   -8.8818e-15     -0.88793
_SET1_   ENSG00000162105    11   70313961   70963623   1798     143  389714       3.3702   2.1166e-06   -8.8818e-15       3.3702
_SET1_   ENSG00000184154    11   71791382   71821828     62       5  383198      -1.3322      0.82728   -8.8818e-15      -1.3322
_SET1_   ENSG00000150672    11   83166055   85338966   5859     177  388822     -0.57803      0.20135   -8.8818e-15     -0.57803
_SET1_   ENSG00000168959    11   88237744   88799113   1680      41  395639       1.5472    0.0019354   -8.8818e-15       1.5472
_SET1_   ENSG00000110218    11   93862094   93915138    126      15  397729     -0.39053      0.39759   -8.8818e-15     -0.39053
_SET1_   ENSG00000152578    11  105480721  105852819    755      38  387369     -0.62932      0.37564   -8.8818e-15     -0.62932
_SET1_   ENSG00000149305    11  113775399  113817287    120      17  396044     -0.29368      0.39044   -8.8818e-15     -0.29368
_SET1_   ENSG00000166736    11  113845603  113861035     53      11  388386      0.49565      0.15012   -8.8818e-15      0.49565
_SET1_   ENSG00000149403    11  120382468  120859613   1372     133  393390       1.3277    0.0091033   -8.8818e-15       1.3277
_SET1_   ENSG00000109971    11  122928197  122933938     33       9  365045      -2.1162      0.94745   -8.8818e-15      -2.1162
_SET1_   ENSG00000154146    11  124609742  124617106     12       3  410885       3.0399   0.00023757   -8.8818e-15       3.0399
_SET1_   ENSG00000151704    11  128706210  128737268     82      14  392798       1.0219       0.0548   -8.8818e-15       1.0219
_SET1_   ENSG00000120457    11  128761251  128790930    107      17  401645       -1.627      0.84347   -8.8818e-15       -1.627
_SET1_   ENSG00000111181    12     299243     323736     81      14  366767      0.53752      0.11665   -8.8818e-15      0.53752
_SET1_   ENSG00000010379    12     329789     372039    137      21  399835      0.47389      0.13398   -8.8818e-15      0.47389
_SET1_   ENSG00000151079    12    4918342    4960277    219      27  405054     -0.02895      0.25446    -8.854e-15     -0.02895
_SET1_   ENSG00000111262    12    5019071    5040527     55      11  396255      0.46714      0.14785   -8.8818e-15      0.46714
_SET1_   ENSG00000130037    12    5153085    5155949      4       2  406682     -0.75787      0.63132   -8.8818e-15     -0.75787
_SET1_   ENSG00000111664    12    6949118    6956557      7       3  379636       2.4643    0.0016662   -8.8818e-15       2.4643
_SET1_   ENSG00000273079    12   13693165   14133053   1369      84  396962       1.2008    0.0097751   -8.8818e-15       1.2008
_SET1_   ENSG00000121361    12   21917889   21928515      4       2  355124      0.52455      0.19252   -8.8818e-15      0.52455
_SET1_   ENSG00000069431    12   21950335   22094336    289      29  393390      -2.7481      0.97794   -8.8818e-15      -2.7481
_SET1_   ENSG00000133703    12   25357723   25403870    157      16  391365      0.90106     0.058451   -8.8818e-15      0.90106
_SET1_   ENSG00000110841    12   27676364   27848497    560      43  402500     -0.47835      0.35635   -8.8818e-15     -0.47835
_SET1_   ENSG00000110975    12   33527173   33592754    208      19  396144      -1.1847      0.69294   -8.8818e-15      -1.1847
_SET1_   ENSG00000111371    12   46576846   46663800    179      34  397853     -0.45368       0.4184   -8.8818e-15     -0.45368
_SET1_   ENSG00000134294    12   46751972   46766650     24       5  398939      -0.7846      0.60335   -8.8818e-15      -0.7846
_SET1_   ENSG00000174233    12   49159975   49182820     41       5  385973       1.6406     0.017196   -8.8818e-15       1.6406
_SET1_   ENSG00000167535    12   49207577   49222724     25      11  379899       1.7979    0.0091212   -8.8818e-15       1.7979
_SET1_   ENSG00000181929    12   49396057   49412980     15       3  341403       3.0782     0.000179   -8.8818e-15       3.0782
_SET1_   ENSG00000123416    12   49521565   49525180      4       1  413466       1.5908     0.023336   -8.8818e-15       1.5908
