GENE	CHR	START	STOP	NSNPS	NPARAM	N	ZSTAT	P	SYMBOL
ENSG00000008128	1	1634169	1655766	87	8	173005	-0.67882	0.75138	CDK11A
ENSG00000215790	1	1656277	1677431	89	15	173005	-0.35783	0.63976	SLC35E2
ENSG00000008130	1	1682671	1711896	118	24	173005	0.12972	0.4484	NADK
ENSG00000078369	1	1716729	1822495	279	39	173005	-0.25771	0.60169	GNB1
ENSG00000169885	1	1846266	1848735	13	4	173005	-0.52473	0.70011	CALML6
ENSG00000178821	1	1849029	1850712	7	3	173005	-1.2612	0.89638	TMEM52
ENSG00000142609	1	1853396	1935276	522	40	173005	1.1987	0.11533	C1orf222
ENSG00000187730	1	1950780	1962192	47	14	173005	0.90499	0.18274	GABRD
ENSG00000067606	1	1981909	2116834	729	55	173005	-0.40033	0.65554	PRKCZ
ENSG00000162585	1	2115903	2144159	84	24	173005	-1.112	0.86692	C1orf86
ENSG00000269554	1	2121237	2123179	4	2	173005	0.36753	0.35661	AL590822.2
ENSG00000203301	1	2143360	2145620	9	5	173005	-2.4076	0.99197	AL590822.1
ENSG00000157933	1	2160134	2241558	353	68	173005	-1.7757	0.96211	SKI
ENSG00000116151	1	2252692	2323146	420	49	173005	0.4065	0.34219	MORN1
ENSG00000269753	1	2258581	2259042	1	1	173005	0.81338	0.208	AL589739.1
ENSG00000157916	1	2323267	2336883	51	18	173005	1.3202	0.093387	RER1
ENSG00000157911	1	2336236	2345236	39	15	173005	0.60398	0.27293	PEX10
ENSG00000149527	1	2357419	2436969	412	65	173005	0.48852	0.31259	PLCH2
ENSG00000157881	1	2439972	2458039	95	22	173005	0.64872	0.25826	PANK4
ENSG00000197921	1	2460184	2461684	4	2	173005	0.83883	0.20078	HES5
ENSG00000157873	1	2487078	2496821	37	11	173005	2.0973	0.017985	TNFRSF14
ENSG00000157870	1	2517930	2522908	17	8	173005	1.3755	0.084486	FAM213B
ENSG00000142606	1	2522078	2564481	222	18	173005	0.70374	0.2408	MMEL1
ENSG00000215912	1	2567415	2718286	391	24	173005	1.0106	0.15611	TTC34
ENSG00000169717	1	2938046	2939465	7	3	173005	1.3595	0.08699	ACTRT2
ENSG00000142611	1	2985732	3355185	2235	213	173005	-1.3863	0.91717	PRDM16
ENSG00000130762	1	3370990	3397677	138	22	173005	-0.814	0.79218	ARHGEF16
ENSG00000162591	1	3406484	3528059	722	114	173005	0.73328	0.23169	MEGF6
ENSG00000158109	1	3541566	3546691	23	8	173005	1.0053	0.15737	TPRG1L
ENSG00000116213	1	3547331	3569325	85	21	173005	0.29616	0.38355	WRAP73
ENSG00000078900	1	3569084	3652765	443	74	173005	-1.6222	0.94762	TP73
ENSG00000162592	1	3668962	3688209	107	28	173005	-1.8464	0.96759	CCDC27
ENSG00000235169	1	3689352	3692546	19	9	173005	0.87981	0.18948	SMIM1
ENSG00000130764	1	3696784	3713068	110	24	173005	0.74787	0.22727	LRRC47
ENSG00000116198	1	3728645	3773778	378	26	173005	0.2373	0.40621	CEP104
ENSG00000169598	1	3773845	3801993	238	37	173005	-0.07558	0.53012	DFFB
ENSG00000198912	1	3805689	3816857	67	15	173005	0.18484	0.42668	C1orf174
ENSG00000196581	1	4714792	4852594	839	103	173005	1.8851	0.029708	AJAP1
ENSG00000131697	1	5922871	6052533	547	31	173005	1.8621	0.031298	NPHP4
ENSG00000069424	1	6051526	6161253	467	75	173005	1.1176	0.13188	KCNAB2
ENSG00000268332	1	6100630	6101399	5	3	173005	0.13684	0.44558	AL035406.1
ENSG00000116254	1	6161853	6240183	399	51	173005	1.2333	0.10873	CHD5
ENSG00000116251	1	6241329	6269449	92	21	173005	1.9931	0.023127	RPL22
ENSG00000158286	1	6265535	6281359	60	11	173005	0.45465	0.32468	RNF207
ENSG00000116237	1	6281253	6296032	59	14	173005	0.19681	0.42199	ICMT
ENSG00000173673	1	6304252	6305638	7	3	173005	-1.4013	0.91944	HES3
ENSG00000158292	1	6307406	6321035	54	7	173005	-0.3719	0.64502	GPR153
ENSG00000097021	1	6324329	6454451	637	39	173005	-0.15344	0.56098	ACOT7
ENSG00000069812	1	6472478	6484730	54	12	173005	0.72101	0.23545	HES2
ENSG00000187017	1	6484848	6521430	137	18	173005	0.91699	0.17957	ESPN
ENSG00000215788	1	6521211	6526255	23	11	173005	0.84199	0.1999	TNFRSF25
ENSG00000171680	1	6526152	6580121	216	44	173005	0.281	0.38936	PLEKHG5
ENSG00000162408	1	6581407	6614595	157	8	173005	-1.0677	0.85718	NOL9
ENSG00000173662	1	6615241	6639817	85	17	173005	-1.1956	0.88407	TAS1R1
ENSG00000204859	1	6640061	6649340	19	9	173005	1.4652	0.07144	ZBTB48
ENSG00000162413	1	6650784	6674667	71	21	173005	3.0294	0.0012254	KLHL21
ENSG00000116273	1	6673745	6684093	31	8	173005	2.8313	0.0023176	PHF13
ENSG00000041988	1	6684926	6695646	45	12	173005	2.7257	0.003208	THAP3
ENSG00000007923	1	6694228	6761984	206	31	173005	3.1654	0.00077447	DNAJC11
ENSG00000171735	1	6845384	7829766	3991	288	173005	1.7011	0.044465	CAMTA1
ENSG00000049245	1	7831329	7841492	43	13	173005	2.0516	0.020106	VAMP3
ENSG00000049246	1	7844380	7905237	294	32	173005	2.1138	0.017264	PER3
ENSG00000049247	1	7903143	7913572	49	17	173005	2.6944	0.003526	UTS2
ENSG00000049249	1	7979907	8000926	57	11	173005	-0.19249	0.57632	TNFRSF9
ENSG00000116288	1	8014351	8045565	109	25	173005	0.78649	0.21579	PARK7
ENSG00000116285	1	8064464	8086368	47	12	173005	1.0244	0.15283	ERRFI1
ENSG00000162426	1	8377886	8404227	108	20	173005	-0.79334	0.78621	SLC45A1
ENSG00000142599	1	8412457	8877702	1028	39	173005	2.8508	0.0021804	RERE
ENSG00000074800	1	8921061	8939308	47	13	173005	-0.4873	0.68698	ENO1
ENSG00000131686	1	9005926	9035151	172	40	173005	0.63573	0.26248	CA6
ENSG00000197241	1	9063359	9086404	116	36	173005	-0.37734	0.64704	SLC2A7
ENSG00000142583	1	9095166	9148537	263	31	173005	-0.36154	0.64115	SLC2A5
ENSG00000180758	1	9160364	9189229	123	23	173005	0.31778	0.37533	GPR157
ENSG00000049239	1	9294834	9331396	147	33	173005	-1.3302	0.90828	H6PD
ENSG00000171621	1	9352939	9429591	476	73	173005	1.1408	0.12697	SPSB1
ENSG00000171612	1	9599541	9645237	130	25	173005	1.0002	0.15861	SLC25A33
ENSG00000188807	1	9648932	9674935	78	22	173005	0.5492	0.29143	TMEM201
ENSG00000171608	1	9711790	9789172	286	49	173005	0.54596	0.29255	PIK3CD
ENSG00000179840	1	9712668	9714644	8	4	173005	2.1963	0.014036	C1orf200
ENSG00000171603	1	9789084	9884584	375	21	173005	-0.34229	0.63393	CLSTN1
ENSG00000178585	1	9908334	9970394	213	44	173005	1.8573	0.031636	CTNNBIP1
ENSG00000162441	1	9982173	10003465	67	16	173005	0.18867	0.42518	LZIC
ENSG00000173614	1	10003486	10045559	124	24	173005	-0.18487	0.57334	NMNAT1
ENSG00000162444	1	10057264	10076078	56	10	173005	0.029452	0.48825	RBP7
ENSG00000130939	1	10092890	10241297	509	29	173005	-0.34708	0.63573	UBE4B
ENSG00000054523	1	10270863	10441661	666	24	173005	-0.25848	0.60198	KIF1B
ENSG00000142657	1	10458649	10480201	68	13	173005	0.70047	0.24182	PGD
ENSG00000251503	1	10490159	10512210	86	15	173005	-0.85545	0.80385	APITD1-CORT
ENSG00000175279	1	10490159	10512210	86	15	173005	-0.85545	0.80385	APITD1
ENSG00000241563	1	10509776	10511959	5	3	173005	-0.8107	0.79123	CORT
ENSG00000160049	1	10516579	10532583	48	17	173005	0.91386	0.18039	DFFA
ENSG00000142655	1	10532345	10690815	518	46	173005	0.18355	0.42718	PEX14
ENSG00000130940	1	10696661	10856707	637	109	173005	1.1082	0.13388	CASZ1
ENSG00000175262	1	11006528	11042094	174	29	173005	-0.84012	0.79958	C1orf127
ENSG00000120948	1	11072414	11085796	31	7	173005	0.23988	0.40521	TARDBP
ENSG00000009724	1	11086580	11107290	75	12	173005	0.31881	0.37494	MASP2
ENSG00000116649	1	11114641	11120081	10	3	173005	0.57972	0.28105	SRM
ENSG00000171824	1	11126675	11159938	128	11	173005	0.48157	0.31505	EXOSC10
ENSG00000198793	1	11166592	11322564	451	19	173005	-0.13059	0.55195	MTOR
ENSG00000171819	1	11249398	11256038	19	4	173005	-0.0040285	0.50161	ANGPTL7
ENSG00000120942	1	11333263	11356106	46	9	173005	0.77609	0.21885	UBIAD1
ENSG00000204624	1	11539223	11597641	197	25	173005	-0.71636	0.76312	PTCHD2
ENSG00000116661	1	11708424	11715842	39	23	173005	-0.84542	0.80106	FBXO2
ENSG00000132879	1	11714432	11723384	36	13	173005	-0.51237	0.6958	FBXO44
ENSG00000116663	1	11724181	11734411	54	15	173005	0.58292	0.27997	FBXO6
ENSG00000116670	1	11734537	11751707	83	19	173005	-0.44737	0.6727	MAD2L2
ENSG00000162490	1	11751786	11785914	144	32	173005	1.4788	0.0696	DRAXIN
ENSG00000177674	1	11796141	11814859	77	15	173005	1.9304	0.026778	AGTRAP
ENSG00000215910	1	11821844	11849642	180	15	173005	1.168	0.12141	C1orf167
ENSG00000177000	1	11845780	11866977	102	16	173005	0.78189	0.21714	MTHFR
ENSG00000011021	1	11866207	11903201	229	19	173005	0.48152	0.31507	CLCN6
ENSG00000175206	1	11905766	11908402	22	7	173005	-0.69088	0.75518	NPPA
ENSG00000120937	1	11917521	11918988	3	2	173005	0.0039902	0.49841	NPPB
ENSG00000116685	1	11979648	11986485	32	12	173005	-0.62015	0.73242	KIAA2013
ENSG00000083444	1	11994262	12035595	168	24	173005	-0.19354	0.57673	PLOD1
ENSG00000116688	1	12040238	12073571	125	17	173005	1.3361	0.090753	MFN2
ENSG00000116691	1	12079523	12092102	36	11	173005	0.13559	0.44607	MIIP
ENSG00000120949	1	12123434	12204264	343	66	173005	0.9575	0.16916	TNFRSF8
ENSG00000028137	1	12227060	12269285	184	28	173005	-0.69538	0.75659	TNFRSF1B
ENSG00000048707	1	12290124	12572099	781	38	173005	0.43087	0.33328	VPS13D
ENSG00000162496	1	12627939	12677737	230	50	173005	-1.2448	0.89341	DHRS3
ENSG00000204518	1	12704566	12727097	90	15	173005	0.46558	0.32076	AADACL4
ENSG00000188984	1	12776118	12788726	53	9	173005	0.99767	0.15922	AADACL3
ENSG00000157330	1	12806163	12823847	75	18	173005	0.80669	0.20992	C1orf158
ENSG00000116726	1	12834984	12838049	14	5	173005	1.6073	0.053998	PRAMEF12
ENSG00000116721	1	12851546	12856777	21	5	173005	1.6602	0.04844	PRAMEF1
ENSG00000204513	1	12884468	12891264	31	8	173005	1.2097	0.11319	PRAMEF11
ENSG00000179172	1	12907261	12908578	5	2	173005	1.4089	0.079439	HNRNPCL1
ENSG00000120952	1	12916941	12921764	63	10	173005	1.3596	0.086976	PRAMEF2
ENSG00000243073	1	12939045	12946025	32	8	173005	0.68218	0.24756	PRAMEF4
ENSG00000187545	1	12952727	12958101	7	4	173005	-0.62163	0.73291	PRAMEF10
ENSG00000204510	1	12976450	12980569	2	1	173005	-0.49922	0.69119	PRAMEF7
ENSG00000232423	1	12998181	13117751	10	4	173005	0.20397	0.41919	PRAMEF6
ENSG00000239810	1	13052394	13052998	1	1	173005	-0.22292	0.5882	WI2-3308P17.2
ENSG00000204502	1	13359819	13369057	1	1	173005	0.13881	0.4448	PRAMEF5
ENSG00000204491	1	13474689	13477522	1	1	173005	1.1026	0.1351	PRAMEF18
ENSG00000204488	1	13495254	13498260	1	1	173005	1.705	0.0441	PRAMEF16
ENSG00000204486	1	13516066	13526943	1	1	173005	0.078287	0.4688	PRAMEF21
ENSG00000204479	1	13716092	13719089	1	1	173005	0.017547	0.493	PRAMEF17
ENSG00000204478	1	13736907	13747803	2	1	173005	-0.35368	0.63821	PRAMEF20
ENSG00000162494	1	13801445	13840543	243	58	173005	1.0839	0.1392	LRRC38
ENSG00000162493	1	13909960	13944452	183	48	173005	-1.001	0.84159	PDPN
ENSG00000116731	1	14026693	14151574	495	43	173005	-1.0237	0.84702	PRDM2
ENSG00000189337	1	14925200	15444539	2682	258	173005	-0.83268	0.79749	KAZN
ENSG00000171729	1	15479028	15546976	415	33	173005	0.72281	0.2349	TMEM51
ENSG00000204464	1	15490840	15497813	31	9	173005	1.0885	0.13818	C1orf195
ENSG00000142621	1	15573768	15726779	696	85	173005	0.40118	0.34414	FHAD1
ENSG00000142634	1	15736391	15756839	92	29	173005	-0.49962	0.69133	EFHD2
ENSG00000162438	1	15764935	15775737	38	14	173005	0.52731	0.29899	CTRC
ENSG00000142615	1	15783223	15798586	76	14	173005	0.77853	0.21813	CELA2A
ENSG00000215704	1	15792404	15817895	108	21	173005	1.3888	0.082446	CELA2B
ENSG00000132906	1	15817327	15853029	163	13	173005	0.52853	0.29857	CASP9
ENSG00000116138	1	15853308	15918874	271	16	173005	1.1454	0.12601	DNAJC16
ENSG00000116771	1	15898848	15911605	69	8	173005	1.0142	0.15525	AGMAT
ENSG00000197312	1	15943995	15995539	143	10	173005	2.2356	0.012689	DDI2
ENSG00000215695	1	15986364	15988217	5	3	173005	1.8313	0.03353	RSC1A1
ENSG00000116786	1	16010827	16061264	196	22	173005	1.5425	0.061472	PLEKHM2
ENSG00000162461	1	16062900	16067891	12	6	173005	1.3656	0.086027	SLC25A34
ENSG00000162460	1	16068917	16074477	29	7	173005	0.30044	0.38192	TMEM82
ENSG00000162458	1	16083102	16113089	106	22	173005	1.1041	0.13477	FBLIM1
ENSG00000065526	1	16174359	16266955	241	37	173005	0.49198	0.31137	SPEN
ENSG00000116809	1	16268364	16302627	87	26	173005	1.1489	0.1253	ZBTB17
ENSG00000183888	1	16330731	16335302	22	9	173005	0.82932	0.20346	C1orf64
ENSG00000173641	1	16340523	16346089	50	6	173005	0.95473	0.16986	HSPB7
ENSG00000186510	1	16345370	16360545	100	15	173005	0.72763	0.23342	CLCNKA
ENSG00000184908	1	16370272	16383803	147	18	173005	-1.0375	0.85025	CLCNKB
ENSG00000185519	1	16384264	16400127	110	17	173005	-0.88883	0.81295	FAM131C
ENSG00000142627	1	16450832	16482582	87	26	173005	-1.385	0.91697	EPHA2
ENSG00000142632	1	16524349	16539104	72	10	173005	-0.74721	0.77253	ARHGEF19
ENSG00000204377	1	16555368	16556038	3	1	173005	-1.4943	0.93245	C1orf134
ENSG00000132881	1	16558195	16563657	18	8	173005	-0.29278	0.61515	RSG1
ENSG00000037637	1	16573334	16678949	307	19	173005	-0.60605	0.72776	FBXO42
ENSG00000055070	1	16679070	16724640	138	21	173005	-0.050579	0.52017	SZRD1
ENSG00000187144	1	16713612	16763919	185	37	173005	-1.3754	0.9155	SPATA21
ENSG00000157191	1	16767167	16786573	63	19	173005	-2.6455	0.99592	NECAP2
ENSG00000268674	1	16865561	16866070	1	1	173005	-1.0994	0.8642	FAM231B
ENSG00000219481	1	16888814	16940057	8	2	173005	-0.73392	0.7685	NBPF1
ENSG00000058453	1	17066768	17299474	401	36	173005	-1.7255	0.95778	CROCC
ENSG00000117122	1	17300997	17307330	21	5	173005	1.2686	0.10229	MFAP2
ENSG00000159363	1	17312453	17338423	81	21	173005	0.82754	0.20396	ATP13A2
ENSG00000117118	1	17345217	17380665	143	17	173005	-0.33467	0.63106	SDHB
ENSG00000117115	1	17393256	17445948	318	23	173005	-0.2744	0.60811	PADI2
ENSG00000142623	1	17531621	17572500	235	68	173005	-1.0423	0.85136	PADI1
ENSG00000142619	1	17575593	17610728	218	37	173005	0.43711	0.33101	PADI3
ENSG00000159339	1	17634690	17690499	365	34	173005	0.8041	0.21067	PADI4
ENSG00000269468	1	17655507	17676070	164	15	173005	0.67337	0.25035	AC004824.2
ENSG00000179051	1	17733256	17766220	108	21	173005	0.90547	0.18261	RCC2
ENSG00000074964	1	17866330	18024369	616	78	173005	-1.683	0.95381	ARHGEF10L
ENSG00000117148	1	18081808	18153558	270	28	173005	3.2237	0.00063277	ACTL8
ENSG00000117154	1	18434240	18704977	1355	172	173005	0.39431	0.34668	IGSF21
ENSG00000179023	1	18807424	18812478	32	8	173005	0.6995	0.24212	KLHDC7A
ENSG00000009709	1	18957500	19075360	522	99	173005	0.37973	0.35207	PAX7
ENSG00000179002	1	19166093	19186176	143	27	173005	3.1374	0.00085234	TAS1R2
ENSG00000255275	1	19175767	19247615	487	61	173005	0.36486	0.35761	RP13-279N23.2
ENSG00000159423	1	19197926	19229275	210	37	173005	0.60441	0.27278	ALDH4A1
ENSG00000169991	1	19230775	19283180	268	45	173005	-1.6197	0.94735	IFFO2
ENSG00000127481	1	19401000	19536770	388	34	173005	0.98675	0.16188	UBR4
ENSG00000127463	1	19542158	19578046	139	21	173005	-0.8061	0.78991	EMC1
ENSG00000053372	1	19578033	19586622	60	10	173005	-0.6308	0.73591	MRTO4
ENSG00000162482	1	19609052	19615744	31	6	173005	0.11094	0.45583	AKR7A3
ENSG00000053371	1	19630459	19638640	34	15	173005	0.39268	0.34728	AKR7A2
ENSG00000040487	1	19638820	19655794	104	17	173005	-0.31944	0.6253	PQLC2
ENSG00000077549	1	19665267	19812066	718	40	173005	1.1136	0.13273	CAPZB
ENSG00000270136	1	19923473	19984549	234	44	173005	-1.6619	0.95174	MINOS1-NBL1
ENSG00000173436	1	19923477	19956314	103	22	173005	-1.2822	0.90012	MINOS1
ENSG00000158747	1	19967048	19984945	85	27	173005	-0.964	0.83248	NBL1
ENSG00000158748	1	19991780	20006055	63	16	173005	0.68612	0.24632	HTR6
ENSG00000162542	1	20008706	20126438	542	68	173005	1.2449	0.10659	TMCO4
ENSG00000178828	1	20140523	20141771	11	7	173005	0.34969	0.36328	RNF186
ENSG00000169914	1	20209006	20239438	101	22	173005	1.4448	0.074258	OTUD3
ENSG00000188784	1	20246502	20250110	22	8	173005	1.6416	0.050334	PLA2G2E
ENSG00000188257	1	20301925	20306932	25	14	173005	-0.1335	0.5531	PLA2G2A
ENSG00000127472	1	20354672	20417683	275	28	173005	1.421	0.077661	PLA2G5
ENSG00000117215	1	20438432	20446050	36	17	173005	-1.0289	0.84823	PLA2G2D
ENSG00000158786	1	20465819	20476879	35	19	173005	-0.25578	0.60094	PLA2G2F
ENSG00000187980	1	20487746	20503917	71	18	173005	0.60971	0.27103	PLA2G2C
ENSG00000162543	1	20512578	20522541	15	7	173005	0.28295	0.38861	UBXN10
ENSG00000158816	1	20617412	20681387	306	34	173005	0.036172	0.48557	VWA5B1
ENSG00000162545	1	20808884	20812713	5	3	173005	-0.88769	0.81265	CAMK2N1
ENSG00000090432	1	20825943	20834654	34	14	173005	-0.1466	0.55827	MUL1
ENSG00000183114	1	20878932	20881512	5	2	173005	0.19535	0.42256	FAM43B
ENSG00000158825	1	20915441	20945401	156	26	173005	0.74994	0.22665	CDA
ENSG00000158828	1	20959948	20978004	98	16	173005	0.057522	0.47706	PINK1
ENSG00000244038	1	20978270	20988000	40	10	173005	0.33045	0.37053	DDOST
ENSG00000117245	1	20990507	21044510	271	56	173005	0.36256	0.35847	KIF17
ENSG00000189410	1	21046225	21059330	49	15	173005	0.38436	0.35035	SH2D5
ENSG00000127483	1	21069154	21113816	126	23	173005	1.3917	0.082001	HP1BP3
ENSG00000075151	1	21132963	21503377	1050	37	173005	0.9496	0.17116	EIF4G3
ENSG00000117298	1	21543740	21671997	504	55	173005	0.027752	0.48893	ECE1
ENSG00000142794	1	21766621	21811498	222	22	173005	0.058863	0.47653	NBPF3
ENSG00000162551	1	21835858	21904905	364	38	173005	-0.18654	0.57399	ALPL
ENSG00000076864	1	21922708	21995801	333	53	173005	0.55787	0.28847	RAP1GAP
ENSG00000090686	1	22004791	22110099	418	38	173005	-0.076999	0.53069	USP48
ENSG00000187942	1	22138758	22151714	61	28	173005	1.6243	0.052155	LDLRAD2
ENSG00000142798	1	22148738	22263790	496	55	173005	2.4317	0.0075149	HSPG2
ENSG00000219073	1	22303514	22325135	261	22	173005	0.26423	0.3958	CELA3B
ENSG00000142789	1	22328149	22339032	81	15	173005	0.5024	0.30769	CELA3A
ENSG00000070831	1	22379120	22419437	135	24	173005	0.051866	0.47932	CDC42
ENSG00000162552	1	22443798	22470462	119	26	173005	0.82801	0.20383	WNT4
ENSG00000184677	1	22778344	22857650	210	31	173005	-0.10389	0.54137	ZBTB40
ENSG00000070886	1	22890057	22930087	200	32	173005	0.18458	0.42678	EPHA8
ENSG00000173372	1	22962999	22966101	11	6	173005	-0.51158	0.69553	C1QA
ENSG00000159189	1	22970123	22974603	29	7	173005	-0.22548	0.5892	C1QC
ENSG00000173369	1	22979255	22988031	36	10	173005	-1.5023	0.93349	C1QB
ENSG00000133216	1	23037332	23241818	763	95	173005	3.032	0.0012146	EPHB2
ENSG00000215906	1	23279536	23291831	44	12	173005	0.83191	0.20273	LACTBL1
ENSG00000227868	1	23337327	23342343	11	4	173005	1.3104	0.095031	C1orf234
ENSG00000004487	1	23345941	23410182	111	20	173005	1.2056	0.11399	KDM1A
ENSG00000169641	1	23410516	23504301	229	33	173005	1.2974	0.097248	LUZP1
ENSG00000179546	1	23516993	23521222	14	5	173005	2.2794	0.011322	HTR1D
ENSG00000125944	1	23630264	23670829	76	22	173005	0.32942	0.37092	HNRNPR
ENSG00000125945	1	23685941	23695935	33	8	173005	-0.3483	0.63619	ZNF436
ENSG00000249087	1	23695490	23698332	4	2	173005	-0.15275	0.5607	C1orf213
ENSG00000204219	1	23707554	23751233	165	31	173005	-0.69497	0.75646	TCEA3
ENSG00000088280	1	23755056	23811061	190	30	173005	-0.3792	0.64773	ASAP3
ENSG00000007968	1	23832922	23857712	72	14	173005	1.0833	0.13934	E2F2
ENSG00000117318	1	23884409	23886285	11	5	173005	0.29873	0.38257	ID3
ENSG00000197880	1	23907985	23967058	186	50	173005	2.8434	0.0022319	MDS2
ENSG00000142676	1	24018269	24022915	16	6	173005	1.7923	0.036539	RPL11
ENSG00000011007	1	24069645	24088549	32	16	173005	0.32594	0.37224	TCEB3
ENSG00000057757	1	24104895	24114722	22	14	173005	0.23194	0.40829	PITHD1
ENSG00000011009	1	24117460	24122029	4	2	173005	0.86021	0.19484	LYPLA2
ENSG00000117308	1	24122089	24127271	7	5	173005	-0.72056	0.76441	GALE
ENSG00000117305	1	24128375	24165110	69	10	173005	0.63484	0.26277	HMGCL
ENSG00000179163	1	24171567	24194784	62	9	173005	1.9807	0.023811	FUCA1
ENSG00000188822	1	24197016	24285549	327	22	173005	1.882	0.02992	CNR2
ENSG00000189266	1	24285599	24289952	3	1	173005	0.67596	0.24953	PNRC2
ENSG00000188529	1	24291294	24307417	8	3	173005	0.4644	0.32118	SRSF10
ENSG00000142661	1	24382525	24438665	240	32	173005	1.5126	0.065188	MYOM3
ENSG00000142677	1	24446261	24469611	93	23	173005	0.72127	0.23537	IL22RA1
ENSG00000185436	1	24480647	24514449	161	27	173005	-0.80097	0.78843	IFNLR1
ENSG00000158055	1	24645812	24690972	150	38	173005	1.1195	0.13146	GRHL3
ENSG00000001460	1	24683489	24743424	217	30	173005	1.1122	0.13302	STPG1
ENSG00000001461	1	24742284	24799466	224	27	173005	0.94453	0.17245	NIPAL3
ENSG00000117602	1	24829387	24867530	148	23	173005	-2.2591	0.98806	RCAN3
ENSG00000184454	1	24882602	24935819	285	34	173005	-1.2917	0.90176	NCMAP
ENSG00000133226	1	24958207	24999758	71	18	173005	-0.45836	0.67665	SRRM1
ENSG00000169504	1	25071848	25170815	173	30	173005	-0.13102	0.55212	CLIC4
ENSG00000020633	1	25226002	25291612	195	44	173005	-0.8004	0.78826	RUNX3
ENSG00000117614	1	25549170	25558993	24	6	173005	-0.53414	0.70338	SYF2
ENSG00000117616	1	25568728	25664704	253	42	173005	0.88119	0.18911	C1orf63
