ensg	symbol	chr	start	end	strand	type	entrezID	HUGO	pLI	ncRVIS	posMapSNPs	posMapMaxCADD	eqtlMapSNPs	eqtlMapminP	eqtlMapminQ	eqtlMapts	eqtlDirection	ciMap	ciMapts	minGwasP	IndSigSNPs	GenomicLocus
ENSG00000196532	HIST1H3C	6	26045639	26046097	1	protein_coding	8352	HIST1H3C	0.215540519058334	-0.193878787	2	0.6	1	0.000693338	0.0431278054040073	PsychENCODE_eQTLs	-	No	NA	2.521e-08	rs13195401	4
ENSG00000010704	HFE	6	26087509	26098571	1	protein_coding	3077	HFE	8.4969700310781e-07	0.210171656	1	0.4	0	NA	NA	NA	NA	Yes	Neural_Progenitor_Cell	4.922e-08	rs13195401;rs6940116:rs156743	4
ENSG00000197061	HIST1H4C	6	26104104	26104518	1	protein_coding	8364	HIST1H4C	8.85616839210981e-05	0.852191535	0	0	0	NA	NA	NA	NA	Yes	Fetal_Cortex:Neural_Progenitor_Cell	4.922e-08	rs156743:rs6940116	4
ENSG00000187475	HIST1H1T	6	26107640	26108364	-1	protein_coding	3010	HIST1H1T	NA	-0.068039131	0	0	0	NA	NA	NA	NA	Yes	Fetal_Cortex:Neural_Progenitor_Cell	4.922e-08	rs156743:rs6940116	4
ENSG00000180596	HIST1H2BC	6	26115101	26124154	-1	protein_coding	8347	HIST1H2BC	0.00287801155749555	0.335736242	1	1.9	0	NA	NA	NA	NA	No	NA	6.445e-05	rs13195401	4
ENSG00000180573	HIST1H2AC	6	26124373	26139344	1	protein_coding	8334	HIST1H2AC	0.599175549394101	0.73967924	1	1.9	0	NA	NA	NA	NA	No	NA	6.445e-05	rs13195401	4
ENSG00000158373	HIST1H2BD	6	26158349	26171577	1	protein_coding	3017	HIST1H2BD	0.000277979441009119	-0.015297657	1	2.736	0	NA	NA	NA	NA	No	NA	6.803e-06	rs13195401	4
ENSG00000197697	HIST1H2BE	6	26183958	26184454	1	protein_coding	8344	HIST1H2BE	0.000307871828087192	0.445738376	2	2.736	0	NA	NA	NA	NA	Yes	Adult_Cortex:Fetal_Cortex:Neural_Progenitor_Cell	4.922e-08	rs13195401;rs9379871;rs13195401:rs156743:rs6940116	4
ENSG00000188987	HIST1H4D	6	26188938	26189304	-1	protein_coding	8360	HIST1H4D	0.00226430020608533	0.870145303	1	1.997	0	NA	NA	NA	NA	Yes	Adult_Cortex:Fetal_Cortex:Neural_Progenitor_Cell	4.922e-08	rs13195401;rs9379871;rs13195401:rs156743:rs6940116	4
ENSG00000197409	HIST1H3D	6	26197068	26199521	-1	protein_coding	8351	HIST1H3D	0.011195071454157	NA	2	4.339	0	NA	NA	NA	NA	Yes	Adult_Cortex:Fetal_Cortex:Neural_Progenitor_Cell	1.6e-08	rs13195401;rs9379871;rs13195401:rs6940116:rs156743:rs114702617;rs7752448;rs156743	4
ENSG00000196866	HIST1H2AD	6	26199079	26199471	-1	protein_coding	3013	HIST1H2AD	3.99677268819075e-05	0.28775859	2	4.339	0	NA	NA	NA	NA	Yes	Adult_Cortex:Fetal_Cortex:Neural_Progenitor_Cell	1.6e-08	rs13195401;rs9379871;rs13195401:rs6940116:rs156743:rs114702617;rs7752448;rs156743	4
ENSG00000197846	HIST1H2BF	6	26199748	26200942	1	protein_coding	8343	HIST1H2BF	0.000300020472922898	0.851062902	1	4.339	0	NA	NA	NA	NA	Yes	Adult_Cortex:Fetal_Cortex:Dorsolateral_Prefrontal_Cortex:Neural_Progenitor_Cell	1.6e-08	rs13195401;rs9379871;rs13195401:rs6940116:rs156743:rs114702617;rs7752448;rs156743	4
ENSG00000198518	HIST1H4E	6	26204858	26206266	1	protein_coding	8367	HIST1H4E	0.000642250549090646	1.835781936	1	4.339	0	NA	NA	NA	NA	Yes	Adult_Cortex:Fetal_Cortex:Dorsolateral_Prefrontal_Cortex:Neural_Progenitor_Cell	4.922e-08	rs13195401;rs9379871;rs13195401:rs6940116:rs156743	4
ENSG00000187990	HIST1H2BG	6	26216428	26216872	-1	protein_coding	8339	HIST1H2BG	2.94452400546665e-06	0.025345178	0	0	0	NA	NA	NA	NA	Yes	Adult_Cortex:Fetal_Cortex:Dorsolateral_Prefrontal_Cortex:Neural_Progenitor_Cell	1.6e-08	rs9379871;rs13195401:rs6940116:rs156743:rs114702617;rs7752448;rs156743	4
ENSG00000168274	HIST1H2AE	6	26217165	26217711	1	protein_coding	3012	HIST1H2AE	0.62412365369502	-0.273878285	0	0	0	NA	NA	NA	NA	Yes	Adult_Cortex:Fetal_Cortex:Dorsolateral_Prefrontal_Cortex:Neural_Progenitor_Cell	1.6e-08	rs9379871;rs13195401:rs6940116:rs156743:rs114702617;rs7752448;rs156743	4
ENSG00000196966	HIST1H3E	6	26225383	26225844	1	protein_coding	8353	HIST1H3E	0.000813428842528686	-0.20979509	0	0	134	0.000424955529693334	0.0096119178707755	BRAINEAC/TCTX	NA	Yes	Promoter_anchored_loops:Adult_Cortex:Fetal_Cortex:Dorsolateral_Prefrontal_Cortex:Neural_Progenitor_Cell	1.244e-08	rs13195401;rs9379871;rs156743;rs9379871:rs156743:rs6940116	4
ENSG00000124575	HIST1H1D	6	26234440	26235216	-1	protein_coding	3007	HIST1H1D	NA	0.136123163	0	0	0	NA	NA	NA	NA	Yes	Adult_Cortex:Fetal_Cortex:Dorsolateral_Prefrontal_Cortex:Neural_Progenitor_Cell	1.6e-08	rs9379871;rs13195401:rs6940116:rs156743:rs114702617;rs7752448;rs156743	4
ENSG00000198327	HIST1H4F	6	26240561	26240976	1	protein_coding	8361	HIST1H4F	0.181985150966619	1.063119385	0	0	0	NA	NA	NA	NA	Yes	Adult_Cortex:Fetal_Cortex:Neural_Progenitor_Cell	4.922e-08	rs9379871;rs13195401:rs156743:rs6940116	4
ENSG00000124578	HIST1H4G	6	26246886	26247259	-1	protein_coding	8369	HIST1H4G	0.00262999657981332	-0.050940889	0	0	0	NA	NA	NA	NA	Yes	Adult_Cortex:Fetal_Cortex:Neural_Progenitor_Cell	4.922e-08	rs9379871;rs13195401:rs156743:rs6940116	4
ENSG00000256316	HIST1H3F	6	26250370	26250835	-1	protein_coding	8968	HIST1H3F	0.042215361750485	-0.181854433	0	0	0	NA	NA	NA	NA	Yes	Fetal_Cortex:Neural_Progenitor_Cell	4.922e-08	rs6940116:rs156743	4
ENSG00000197459	HIST1H2BH	6	26251879	26252303	1	protein_coding	8345	HIST1H2BH	0.000295729876724394	-0.173874453	0	0	0	NA	NA	NA	NA	Yes	Fetal_Cortex:Neural_Progenitor_Cell	4.922e-08	rs6940116:rs156743	4
ENSG00000256018	HIST1H3G	6	26271146	26271612	-1	protein_coding	8355	HIST1H3G	1.71005632806188e-05	0.234420172	1	2.341	0	NA	NA	NA	NA	Yes	Neural_Progenitor_Cell	4.922e-08	rs13195401;rs6940116:rs156743	4
ENSG00000168242	HIST1H2BI	6	26273144	26273622	1	protein_coding	8346	HIST1H2BI	0.138012141980387	-0.249747536	1	2.341	0	NA	NA	NA	NA	Yes	Neural_Progenitor_Cell	4.922e-08	rs13195401;rs6940116:rs156743	4
ENSG00000158406	HIST1H4H	6	26281283	26285762	-1	protein_coding	8365	HIST1H4H	0.00879032933359599	1.05906941	0	0	41	1.29668e-05	0.00137949429419564	PsychENCODE_eQTLs	-	Yes	Adult_Cortex:Fetal_Cortex:Hippocampus:Neural_Progenitor_Cell	1.6e-08	rs13195401;rs9379871;rs156743;rs13195401:rs156743:rs114702617;rs7752448;rs156743:rs9379871:rs6940116	4
ENSG00000186470	BTN3A2	6	26365387	26378546	1	protein_coding	11118	BTN3A2	0.000124518814289725	2.207914013	73	9.653	319	3.13555e-78	1.54383308036321e-74	PsychENCODE_eQTLs:BRAINEAC/CRBL:BRAINEAC/FCTX:BRAINEAC/HIPP:BRAINEAC/PUTM:BRAINEAC/SNIG:BRAINEAC/TCTX:BRAINEAC/THAL:BRAINEAC/WHMT:BRAINEAC/aveALL:GTEx/v8/Brain_Amygdala:GTEx/v8/Brain_Anterior_cingulate_cortex_BA24:GTEx/v8/Brain_Caudate_basal_ganglia:GTEx/v8/Brain_Cerebellar_Hemisphere:GTEx/v8/Brain_Cerebellum:GTEx/v8/Brain_Cortex:GTEx/v8/Brain_Frontal_Cortex_BA9:GTEx/v8/Brain_Hippocampus:GTEx/v8/Brain_Hypothalamus:GTEx/v8/Brain_Nucleus_accumbens_basal_ganglia:GTEx/v8/Brain_Putamen_basal_ganglia:GTEx/v8/Brain_Spinal_cord_cervical_c-1:GTEx/v8/Brain_Substantia_nigra	+	Yes	Promoter_anchored_loops:Adult_Cortex:Fetal_Cortex	1.416e-09	rs9379871;rs13195401;rs6934329;rs156743;rs7752448	4
ENSG00000124508	BTN2A2	6	26383324	26395102	1	protein_coding	10385	BTN2A2	0.000150288420483044	1.015715449	26	8.783	73	9.8833e-07	1.16266e-15	PsychENCODE_eQTLs:GTEx/v8/Brain_Caudate_basal_ganglia:GTEx/v8/Brain_Nucleus_accumbens_basal_ganglia	+	Yes	Adult_Cortex:Fetal_Cortex	1.244e-08	rs9379871;rs13195401;rs156743	4
ENSG00000026950	BTN3A1	6	26402465	26415444	1	protein_coding	11119	BTN3A1	8.65113669435817e-07	1.627912919	9	6.448	0	NA	NA	NA	NA	Yes	Adult_Cortex:Fetal_Cortex	4.922e-08	rs9379871;rs13195401;rs13195401:rs156743	4
ENSG00000111801	BTN3A3	6	26440700	26453643	1	protein_coding	10384	BTN3A3	7.19024879190517e-10	1.090110123	13	23.7	236	2.75352e-11	5.53443e-10	PsychENCODE_eQTLs:GTEx/v8/Brain_Cerebellar_Hemisphere:GTEx/v8/Brain_Cerebellum:GTEx/v8/Brain_Cortex	-	Yes	Adult_Cortex:Fetal_Cortex	5.109e-09	rs9379871;rs13195401;rs6934329;rs156743;rs7752448	4
ENSG00000112763	BTN2A1	6	26458150	26476849	1	protein_coding	11120	BTN2A1	1.07467588553941e-18	0.260570683	14	23.7	66	9.19816e-07	0.000124185907257903	PsychENCODE_eQTLs	+	Yes	Adult_Cortex:Fetal_Cortex	1.566e-08	rs9379871;rs13195401;rs156743;rs13195401:rs9379871	4
ENSG00000124557	BTN1A1	6	26501449	26510650	1	protein_coding	696	BTN1A1	1.14088369109076e-09	-0.32970456	9	9.839	0	NA	NA	NA	NA	Yes	Fetal_Cortex	8.233e-08	rs13195401;rs9379871	4
ENSG00000182952	HMGN4	6	26538633	26546482	1	protein_coding	10473	HMGN4	0.557082341510099	-0.351002587	7	7.526	0	NA	NA	NA	NA	Yes	Promoter_anchored_loops:Neural_Progenitor_Cell	1.481e-07	rs9379871;rs13195401;rs13195401:rs6940116	4
ENSG00000146109	ABT1	6	26597180	26600278	1	protein_coding	29777	ABT1	0.0271055673799205	0.104221009	19	13.55	0	NA	NA	NA	NA	No	NA	8.349e-08	rs9379871;rs13195401	4
ENSG00000181315	ZNF322	6	26636518	26659980	-1	protein_coding	79692	ZNF322	NA	-1.140467931	4	19.82	0	NA	NA	NA	NA	Yes	Fetal_Cortex	7.359e-08	rs13195401;rs9379871	4
ENSG00000124635	HIST1H2BJ	6	27093676	27100541	-1	protein_coding	8970	HIST1H2BJ	0.47884211441258	0.308582046	4	4	0	NA	NA	NA	NA	Yes	Adult_Cortex:Fetal_Cortex:Dorsolateral_Prefrontal_Cortex:Hippocampus:Neural_Progenitor_Cell	1.966e-08	rs6934329;rs156743;rs13195401;rs156743:rs9379871;rs13195401:rs6940116	4
ENSG00000196787	HIST1H2AG	6	27100832	27103070	1	protein_coding	8969	HIST1H2AG	0.000610464103704842	-0.741637225	3	4	0	NA	NA	NA	NA	Yes	Adult_Cortex:Fetal_Cortex:Dorsolateral_Prefrontal_Cortex:Hippocampus:Neural_Progenitor_Cell	1.966e-08	rs6934329;rs156743;rs13195401;rs156743:rs9379871;rs13195401:rs6940116	4
ENSG00000197903	HIST1H2BK	6	27106073	27114619	-1	protein_coding	85236	HIST1H2BK	0.490754148427297	-0.043052263	1	3.635	8	5.61303e-05	0.0120885	GTEx/v8/Brain_Cerebellum	-	Yes	Promoter_anchored_loops:Adult_Cortex:Fetal_Cortex:Dorsolateral_Prefrontal_Cortex:Hippocampus:Neural_Progenitor_Cell	2.086e-08	rs6934329;rs9379871;rs13195401;rs6940116:rs9379871;rs13195401:rs156743	4
ENSG00000198339	HIST1H4I	6	27107076	27108418	1	protein_coding	8294	HIST1H4I	0.446296012965993	-0.468005112	1	3.635	0	NA	NA	NA	NA	Yes	Adult_Cortex:Fetal_Cortex:Dorsolateral_Prefrontal_Cortex:Hippocampus:Neural_Progenitor_Cell	2.086e-08	rs6934329;rs156743:rs9379871;rs13195401:rs6940116	4
ENSG00000184825	HIST1H2AH	6	27114861	27115317	1	protein_coding	85235	HIST1H2AH	6.2950794420684e-05	0.194919981	1	2.286	0	NA	NA	NA	NA	Yes	Promoter_anchored_loops:Adult_Cortex:Fetal_Cortex:Dorsolateral_Prefrontal_Cortex:Hippocampus:Neural_Progenitor_Cell	1.721e-08	rs6934329;rs6940116:rs9379871;rs13195401:rs156743	4
ENSG00000112812	PRSS16	6	27215480	27224403	1	protein_coding	10279	PRSS16	2.23791834002529e-06	0.008848123	3	9.284	491	6.83753e-16	3.974e-11	PsychENCODE_eQTLs:GTEx/v8/Brain_Cerebellar_Hemisphere:GTEx/v8/Brain_Cerebellum:GTEx/v8/Brain_Cortex:GTEx/v8/Brain_Frontal_Cortex_BA9:GTEx/v8/Brain_Nucleus_accumbens_basal_ganglia	-	Yes	Fetal_Cortex:Neural_Progenitor_Cell	1.416e-09	rs6934329;rs13195401;rs9379871;rs156743;rs7752448;rs6940116;rs114702617;rs6905391	4
ENSG00000158553	POM121L2	6	27253682	27279949	-1	protein_coding	94026	POM121L2	NA	0.313408259	3	10.98	7	0.000227801	0.0171160815036833	PsychENCODE_eQTLs	-	Yes	Neural_Progenitor_Cell	4.166e-08	rs156743;rs13195401;rs6940116	4
ENSG00000124613	ZNF391	6	27342394	27371683	1	protein_coding	346157	ZNF391	9.25869403182407e-07	1.231716533	9	8.5	51	1.5835e-08	3.0797e-26	PsychENCODE_eQTLs:GTEx/v8/Brain_Cerebellar_Hemisphere:GTEx/v8/Brain_Nucleus_accumbens_basal_ganglia	-	Yes	Neural_Progenitor_Cell	4.547e-08	rs7752448;rs156743;rs13195401;rs9379871;rs6940116	4
ENSG00000096654	ZNF184	6	27418522	27440897	-1	protein_coding	7738	ZNF184	0.133748635714874	-0.545662357	9	10.07	11	0.000214238	0.000449227	GTEx/v8/Brain_Caudate_basal_ganglia	-	Yes	Adult_Cortex:Dorsolateral_Prefrontal_Cortex:Hippocampus:Neural_Progenitor_Cell	5.109e-09	rs156743;rs13195401;rs7752448;rs6934329;rs9379871;rs13195401:rs6940116	4
ENSG00000185130	HIST1H2BL	6	27775257	27775709	-1	protein_coding	8340	HIST1H2BL	0.00286755404850941	-0.03011099	19	16.23	3	0.000475577	0.0317133649083498	PsychENCODE_eQTLs	-	Yes	Fetal_Cortex	2.792e-08	rs6940116;rs7752448;rs156743	4
ENSG00000196747	HIST1H2AI	6	27775899	27776429	1	protein_coding	8329	HIST1H2AI	0.581587114173739	-0.058326504	20	16.23	0	NA	NA	NA	NA	Yes	Fetal_Cortex	2.792e-08	rs6940116;rs7752448;rs156743	4
ENSG00000203813	HIST1H3H	6	27777842	27778314	1	protein_coding	8357	HIST1H3H	0.02493915563981	-0.177817416	19	16.23	0	NA	NA	NA	NA	Yes	Fetal_Cortex	2.792e-08	rs6940116;rs7752448;rs156743	4
ENSG00000182611	HIST1H2AJ	6	27782112	27782607	-1	protein_coding	8331	HIST1H2AJ	0.19119768143705	0.615053632	16	16.23	0	NA	NA	NA	NA	Yes	Fetal_Cortex	2.792e-08	rs156743;rs7752448;rs6940116	4
ENSG00000196374	HIST1H2BM	6	27782822	27783267	1	protein_coding	8342	HIST1H2BM	0.00275346435077864	-0.27562	17	16.23	3	0.000187038	0.0144637218862836	PsychENCODE_eQTLs	+	Yes	Fetal_Cortex	4.451e-09	rs156743;rs7752448;rs6940116;rs1736904	4
ENSG00000197238	HIST1H4J	6	27791884	27792257	1	protein_coding	8363	HIST1H4J	0.423753830207411	0.598449973	17	9.571	69	4.23026e-08	7.15740001326226e-06	PsychENCODE_eQTLs	+	Yes	Fetal_Cortex	4.977e-09	rs156743;rs7752448;rs6940116;rs13195401;rs6934329;rs114702617;rs1736904;rs6905391;rs137966363	4
ENSG00000197914	HIST1H4K	6	27798952	27799305	-1	protein_coding	8362	HIST1H4K	0.429118935200097	0.387416315	15	12.22	0	NA	NA	NA	NA	Yes	Fetal_Cortex	4.922e-08	rs156743;rs7752448;rs6940116	4
ENSG00000184348	HIST1H2AK	6	27805658	27806117	-1	protein_coding	8330	HIST1H2AK	0.0684285015781424	-0.04124411	18	12.22	300	7.03837145811211e-05	0.0406860332903284	BRAINEAC/OCTX	NA	Yes	Adult_Cortex:Fetal_Cortex	1.172e-09	rs156743;rs7752448;rs6940116;rs9379871;rs13195401;rs114702617;rs137966363;rs13195401:rs6940116:rs156743	4
ENSG00000233822	HIST1H2BN	6	27806323	27823487	1	protein_coding	8341	HIST1H2BN	0.139774615254902	0.145508408	24	15.9	0	NA	NA	NA	NA	Yes	Adult_Cortex:Fetal_Cortex	4.704e-08	rs156743;rs7752448;rs6940116;rs9379871;rs13195401:rs6940116:rs156743	4
ENSG00000198374	HIST1H2AL	6	27833034	27833606	1	protein_coding	8332	HIST1H2AL	0.0624869158210738	-0.360341181	15	16.41	0	NA	NA	NA	NA	Yes	Fetal_Cortex	8.645e-09	rs156743;rs6940116;rs7752448;rs9379871:rs9379871;rs13195401:rs6940116:rs156743	4
ENSG00000184357	HIST1H1B	6	27834570	27835359	-1	protein_coding	3009	HIST1H1B	0.509138756022723	-0.08989506	16	16.41	0	NA	NA	NA	NA	Yes	Fetal_Cortex	8.645e-09	rs156743;rs6940116;rs7752448;rs9379871:rs9379871;rs13195401:rs6940116:rs156743	4
ENSG00000182572	HIST1H3I	6	27839623	27840099	-1	protein_coding	8354	HIST1H3I	0.360879945054601	-0.232438013	16	16.41	0	NA	NA	NA	NA	Yes	Fetal_Cortex:Neural_Progenitor_Cell	8.645e-09	rs156743;rs6940116;rs7752448;rs9379871:rs9379871;rs13195401:rs6940116:rs156743	4
ENSG00000198558	HIST1H4L	6	27840926	27841289	-1	protein_coding	8368	HIST1H4L	0.191234624133278	0.426890108	16	16.41	45	4.2216e-05	0.00394854158081471	PsychENCODE_eQTLs	+	Yes	Fetal_Cortex:Neural_Progenitor_Cell	4.498e-09	rs156743;rs6940116;rs7752448;rs114702617;rs137966363;rs156743:rs6940116	4
ENSG00000197153	HIST1H3J	6	27858093	27860884	-1	protein_coding	8356	HIST1H3J	0.695883936820569	-0.189708056	4	10.73	0	NA	NA	NA	NA	Yes	Adult_Cortex:Fetal_Cortex:Neural_Progenitor_Cell	2.782e-09	rs156743;rs7752448;rs114702617;rs9379871:rs6940116:rs156743:rs114702617;rs156743:rs9379871;rs13195401:rs114702617;rs137966363	4
ENSG00000233224	HIST1H2AM	6	27860477	27860963	-1	protein_coding	8336	HIST1H2AM	0.000856482029037302	-0.225135146	4	10.73	0	NA	NA	NA	NA	Yes	Adult_Cortex:Fetal_Cortex:Neural_Progenitor_Cell	2.782e-09	rs156743;rs7752448;rs114702617;rs9379871:rs6940116:rs156743:rs114702617;rs156743:rs9379871;rs13195401:rs114702617;rs137966363	4
ENSG00000196331	HIST1H2BO	6	27861203	27861669	1	protein_coding	8348	HIST1H2BO	3.07277582735277e-05	-0.223062534	3	5.694	0	NA	NA	NA	NA	Yes	Adult_Cortex:Fetal_Cortex:Neural_Progenitor_Cell	2.782e-09	rs156743;rs7752448;rs114702617;rs9379871:rs6940116:rs156743:rs114702617;rs156743:rs9379871;rs13195401:rs114702617;rs137966363	4
ENSG00000168131	OR2B2	6	27878963	27880174	-1	protein_coding	81697	OR2B2	6.86720334316105e-05	-0.212076212	6	23.2	0	NA	NA	NA	NA	Yes	Neural_Progenitor_Cell	7.955e-09	rs156743;rs114702617;rs7752448;rs6940116:rs156743	4
ENSG00000124657	OR2B6	6	27925019	27925960	1	protein_coding	26212	OR2B6	0.0407309275321611	-0.098173144	1	0.002	0	NA	NA	NA	NA	No	NA	3.298e-08	rs114702617;rs7752448;rs156743	4
ENSG00000197279	ZNF165	6	28048753	28057341	1	protein_coding	7718	ZNF165	0.000563292029886091	0.227981468	6	7.061	22	1.59468e-07	2.4572119964584e-05	PsychENCODE_eQTLs	+	No	NA	4.451e-09	rs114702617;rs7752448;rs156743;rs6905391;rs6940116;rs1736904	4
ENSG00000196812	ZSCAN16	6	28092338	28097860	1	protein_coding	80345	ZSCAN16	2.67303498489914e-06	0.184187397	8	5.996	22	6.0671e-07	8.46149625052011e-05	PsychENCODE_eQTLs	+	No	NA	4.451e-09	rs6905391;rs156743;rs114702617;rs7752448;rs6940116;rs1736904	4
ENSG00000198315	ZKSCAN8	6	28109688	28127250	1	protein_coding	7745	ZKSCAN8	0.000231594506551783	-0.142528224	13	13.42	397	3.10149e-13	9.78787017314308e-11	PsychENCODE_eQTLs:BRAINEAC/CRBL:BRAINEAC/WHMT:GTEx/v8/Brain_Caudate_basal_ganglia:GTEx/v8/Brain_Cerebellar_Hemisphere:GTEx/v8/Brain_Cerebellum:GTEx/v8/Brain_Cortex:GTEx/v8/Brain_Frontal_Cortex_BA9:GTEx/v8/Brain_Hippocampus:GTEx/v8/Brain_Nucleus_accumbens_basal_ganglia:GTEx/v8/Brain_Putamen_basal_ganglia	+	Yes	Adult_Cortex:Fetal_Cortex	3.468e-11	rs6905391;rs156743;rs114702617;rs7752448;rs13195401;rs6940116;rs1736904;rs137966363;rs156743:rs9379871	4
ENSG00000137185	ZSCAN9	6	28192664	28201260	1	protein_coding	7746	ZSCAN9	4.10248860506101e-08	0.461166178	24	7.889	464	9.24983e-09	3.38722e-05	PsychENCODE_eQTLs:GTEx/v8/Brain_Cerebellar_Hemisphere:GTEx/v8/Brain_Cerebellum:GTEx/v8/Brain_Cortex:GTEx/v8/Brain_Hippocampus	-	Yes	Adult_Cortex:Fetal_Cortex	2.605e-10	rs114702617;rs7752448;rs156743;rs6905391;rs1736904;rs137966363;rs13195401;rs6940116;rs156743:rs156743	4
ENSG00000187626	ZKSCAN4	6	28212401	28227011	-1	protein_coding	387032	ZKSCAN4	6.74288454800845e-05	0.661631344	25	22.3	0	NA	NA	NA	NA	Yes	Adult_Cortex:Fetal_Cortex	2.864e-09	rs114702617;rs7752448;rs156743;rs6905391;rs1736904	4
ENSG00000189134	NKAPL	6	28227098	28228736	1	protein_coding	222698	NKAPL	0.000165621301014734	0.051342603	13	22.3	0	NA	NA	NA	NA	Yes	Adult_Cortex:Fetal_Cortex	2.864e-09	rs6905391;rs7752448;rs1736904;rs114702617;rs156743	4
ENSG00000137338	PGBD1	6	28249314	28270326	1	protein_coding	84547	PGBD1	1.46735073363618e-05	-0.0800605	17	14.75	275	2.27832e-08	9.81173e-05	GTEx/v8/Brain_Caudate_basal_ganglia:GTEx/v8/Brain_Cerebellar_Hemisphere:GTEx/v8/Brain_Cerebellum:GTEx/v8/Brain_Spinal_cord_cervical_c-1	-	Yes	Adult_Cortex:Fetal_Cortex	3.468e-11	rs6905391;rs7752448;rs1736904;rs114702617;rs156743;rs6940116;rs137966363;rs9379871;rs13195401:rs114702617	4
