region2	reg_region	type	tissue/cell	genes
6:25240001-25280000	6:25278622-25281726	prom	E068	ENSG00000079691
6:25240001-25280000	6:25278622-25281726	prom	E069	ENSG00000079691
6:25240001-25280000	6:25278622-25281726	prom	E070	ENSG00000079691
6:25240001-25280000	6:25278622-25281726	prom	E071	ENSG00000079691
6:25240001-25280000	6:25278622-25281726	prom	E072	ENSG00000079691
6:25240001-25280000	6:25278622-25281726	prom	E073	ENSG00000079691
6:25240001-25280000	6:25278622-25281726	prom	E074	ENSG00000079691
6:25240001-25280000	6:25278622-25281726	prom	E081	ENSG00000079691
6:25240001-25280000	6:25278622-25281726	prom	E082	ENSG00000079691
6:25270000-25280000	6:25278622-25281726	prom	E053	ENSG00000079691
6:25270000-25280000	6:25278622-25281726	prom	E054	ENSG00000079691
6:25270000-25280000	6:25278622-25281726	prom	E067	ENSG00000079691
6:25270000-25280000	6:25278622-25281726	prom	E068	ENSG00000079691
6:25270000-25280000	6:25278622-25281726	prom	E069	ENSG00000079691
6:25270000-25280000	6:25278622-25281726	prom	E070	ENSG00000079691
6:25270000-25280000	6:25278622-25281726	prom	E071	ENSG00000079691
6:25270000-25280000	6:25278622-25281726	prom	E072	ENSG00000079691
6:25270000-25280000	6:25278622-25281726	prom	E073	ENSG00000079691
6:25270000-25280000	6:25278622-25281726	prom	E074	ENSG00000079691
6:25270000-25280000	6:25278622-25281726	prom	E081	ENSG00000079691
6:25270000-25280000	6:25278622-25281726	prom	E082	ENSG00000079691
6:26000001-26040000	6:26016279-26018545	prom	E067	ENSG00000124610
6:26000001-26040000	6:26016279-26018545	prom	E068	ENSG00000124610
6:26000001-26040000	6:26016279-26018545	prom	E070	ENSG00000124610
6:26000001-26040000	6:26016279-26018545	prom	E073	ENSG00000124610
6:26000001-26040000	6:26016279-26018545	prom	E081	ENSG00000124610
6:26000001-26040000	6:26016279-26018545	prom	E082	ENSG00000124610
6:26000001-26040000	6:26019587-26022862	prom	E053	ENSG00000198366:ENSG00000196176
6:26000001-26040000	6:26019587-26022862	prom	E054	ENSG00000198366:ENSG00000196176
6:26000001-26040000	6:26019587-26022862	prom	E067	ENSG00000198366:ENSG00000196176
6:26000001-26040000	6:26019587-26022862	prom	E068	ENSG00000198366:ENSG00000196176
6:26000001-26040000	6:26019587-26022862	prom	E069	ENSG00000198366:ENSG00000196176
6:26000001-26040000	6:26019587-26022862	prom	E070	ENSG00000198366:ENSG00000196176
6:26000001-26040000	6:26019587-26022862	prom	E071	ENSG00000198366:ENSG00000196176
6:26000001-26040000	6:26019587-26022862	prom	E072	ENSG00000198366:ENSG00000196176
6:26000001-26040000	6:26019587-26022862	prom	E073	ENSG00000198366:ENSG00000196176
6:26000001-26040000	6:26019587-26022862	prom	E074	ENSG00000198366:ENSG00000196176
6:26000001-26040000	6:26019587-26022862	prom	E082	ENSG00000198366:ENSG00000196176
6:26000001-26040000	6:26025537-26028060	prom	E053	ENSG00000124529
6:26000001-26040000	6:26025537-26028060	prom	E054	ENSG00000124529
6:26000001-26040000	6:26025537-26028060	prom	E067	ENSG00000124529
6:26000001-26040000	6:26025537-26028060	prom	E068	ENSG00000124529
6:26000001-26040000	6:26025537-26028060	prom	E069	ENSG00000124529
6:26000001-26040000	6:26025537-26028060	prom	E070	ENSG00000124529
6:26000001-26040000	6:26025537-26028060	prom	E071	ENSG00000124529
6:26000001-26040000	6:26025537-26028060	prom	E072	ENSG00000124529
6:26000001-26040000	6:26025537-26028060	prom	E073	ENSG00000124529
6:26000001-26040000	6:26025537-26028060	prom	E074	ENSG00000124529
6:26000001-26040000	6:26025537-26028060	prom	E082	ENSG00000124529
6:26000001-26040000	6:26031011-26031368	prom	E054	NA
6:26000001-26040000	6:26031011-26031368	prom	E070	NA
6:26000001-26040000	6:26031011-26031368	prom	E082	NA
6:26000001-26040000	6:26031438-26034967	prom	E053	ENSG00000124693:ENSG00000137259
6:26000001-26040000	6:26031438-26034967	prom	E054	ENSG00000124693:ENSG00000137259
6:26000001-26040000	6:26031438-26034967	prom	E067	ENSG00000124693:ENSG00000137259
6:26000001-26040000	6:26031438-26034967	prom	E068	ENSG00000124693:ENSG00000137259
6:26000001-26040000	6:26031438-26034967	prom	E069	ENSG00000124693:ENSG00000137259
6:26000001-26040000	6:26031438-26034967	prom	E070	ENSG00000124693:ENSG00000137259
6:26000001-26040000	6:26031438-26034967	prom	E071	ENSG00000124693:ENSG00000137259
6:26000001-26040000	6:26031438-26034967	prom	E072	ENSG00000124693:ENSG00000137259
6:26000001-26040000	6:26031438-26034967	prom	E073	ENSG00000124693:ENSG00000137259
6:26000001-26040000	6:26031438-26034967	prom	E074	ENSG00000124693:ENSG00000137259
6:26000001-26040000	6:26031438-26034967	prom	E081	ENSG00000124693:ENSG00000137259
6:26000001-26040000	6:26031438-26034967	prom	E082	ENSG00000124693:ENSG00000137259
6:26020000-26030000	6:26019587-26022862	prom	E053	ENSG00000198366:ENSG00000196176
6:26020000-26030000	6:26019587-26022862	prom	E054	ENSG00000198366:ENSG00000196176
6:26020000-26030000	6:26019587-26022862	prom	E067	ENSG00000198366:ENSG00000196176
6:26020000-26030000	6:26019587-26022862	prom	E068	ENSG00000198366:ENSG00000196176
6:26020000-26030000	6:26019587-26022862	prom	E069	ENSG00000198366:ENSG00000196176
6:26020000-26030000	6:26019587-26022862	prom	E070	ENSG00000198366:ENSG00000196176
6:26020000-26030000	6:26019587-26022862	prom	E071	ENSG00000198366:ENSG00000196176
6:26020000-26030000	6:26019587-26022862	prom	E072	ENSG00000198366:ENSG00000196176
6:26020000-26030000	6:26019587-26022862	prom	E073	ENSG00000198366:ENSG00000196176
6:26020000-26030000	6:26019587-26022862	prom	E074	ENSG00000198366:ENSG00000196176
6:26020000-26030000	6:26019587-26022862	prom	E082	ENSG00000198366:ENSG00000196176
6:26020000-26030000	6:26025537-26028060	prom	E053	ENSG00000124529
6:26020000-26030000	6:26025537-26028060	prom	E054	ENSG00000124529
6:26020000-26030000	6:26025537-26028060	prom	E067	ENSG00000124529
6:26020000-26030000	6:26025537-26028060	prom	E068	ENSG00000124529
6:26020000-26030000	6:26025537-26028060	prom	E069	ENSG00000124529
6:26020000-26030000	6:26025537-26028060	prom	E070	ENSG00000124529
6:26020000-26030000	6:26025537-26028060	prom	E071	ENSG00000124529
6:26020000-26030000	6:26025537-26028060	prom	E072	ENSG00000124529
6:26020000-26030000	6:26025537-26028060	prom	E073	ENSG00000124529
6:26020000-26030000	6:26025537-26028060	prom	E074	ENSG00000124529
6:26020000-26030000	6:26025537-26028060	prom	E082	ENSG00000124529
6:26030000-26040000	6:26031011-26031368	prom	E054	NA
6:26030000-26040000	6:26031011-26031368	prom	E070	NA
6:26030000-26040000	6:26031011-26031368	prom	E082	NA
6:26030000-26040000	6:26031438-26034967	prom	E053	ENSG00000124693:ENSG00000137259
6:26030000-26040000	6:26031438-26034967	prom	E054	ENSG00000124693:ENSG00000137259
6:26030000-26040000	6:26031438-26034967	prom	E067	ENSG00000124693:ENSG00000137259
6:26030000-26040000	6:26031438-26034967	prom	E068	ENSG00000124693:ENSG00000137259
6:26030000-26040000	6:26031438-26034967	prom	E069	ENSG00000124693:ENSG00000137259
6:26030000-26040000	6:26031438-26034967	prom	E070	ENSG00000124693:ENSG00000137259
6:26030000-26040000	6:26031438-26034967	prom	E071	ENSG00000124693:ENSG00000137259
6:26030000-26040000	6:26031438-26034967	prom	E072	ENSG00000124693:ENSG00000137259
6:26030000-26040000	6:26031438-26034967	prom	E073	ENSG00000124693:ENSG00000137259
6:26030000-26040000	6:26031438-26034967	prom	E074	ENSG00000124693:ENSG00000137259
6:26030000-26040000	6:26031438-26034967	prom	E081	ENSG00000124693:ENSG00000137259
6:26030000-26040000	6:26031438-26034967	prom	E082	ENSG00000124693:ENSG00000137259
6:26040001-26080000	6:26043281-26046650	prom	E053	ENSG00000196226:ENSG00000196532
6:26040001-26080000	6:26043281-26046650	prom	E054	ENSG00000196226:ENSG00000196532
6:26040001-26080000	6:26043281-26046650	prom	E067	ENSG00000196226:ENSG00000196532
6:26040001-26080000	6:26043281-26046650	prom	E068	ENSG00000196226:ENSG00000196532
6:26040001-26080000	6:26043281-26046650	prom	E069	ENSG00000196226:ENSG00000196532
6:26040001-26080000	6:26043281-26046650	prom	E070	ENSG00000196226:ENSG00000196532
6:26040001-26080000	6:26043281-26046650	prom	E071	ENSG00000196226:ENSG00000196532
6:26040001-26080000	6:26043281-26046650	prom	E072	ENSG00000196226:ENSG00000196532
6:26040001-26080000	6:26043281-26046650	prom	E073	ENSG00000196226:ENSG00000196532
6:26040001-26080000	6:26043281-26046650	prom	E074	ENSG00000196226:ENSG00000196532
6:26040001-26080000	6:26043281-26046650	prom	E082	ENSG00000196226:ENSG00000196532
6:26040001-26080000	6:26054224-26057550	prom	E053	ENSG00000187837
6:26040001-26080000	6:26054224-26057550	prom	E054	ENSG00000187837
6:26040001-26080000	6:26054224-26057550	prom	E067	ENSG00000187837
6:26040001-26080000	6:26054224-26057550	prom	E068	ENSG00000187837
6:26040001-26080000	6:26054224-26057550	prom	E069	ENSG00000187837
6:26040001-26080000	6:26054224-26057550	prom	E070	ENSG00000187837
6:26040001-26080000	6:26054224-26057550	prom	E071	ENSG00000187837
6:26040001-26080000	6:26054224-26057550	prom	E072	ENSG00000187837
6:26040001-26080000	6:26054224-26057550	prom	E073	ENSG00000187837
6:26040001-26080000	6:26054224-26057550	prom	E074	ENSG00000187837
6:26040001-26080000	6:26054224-26057550	prom	E081	ENSG00000187837
6:26040001-26080000	6:26054224-26057550	prom	E082	ENSG00000187837
6:26050000-26060000	6:26054224-26057550	prom	E053	ENSG00000187837
6:26050000-26060000	6:26054224-26057550	prom	E054	ENSG00000187837
6:26050000-26060000	6:26054224-26057550	prom	E067	ENSG00000187837
6:26050000-26060000	6:26054224-26057550	prom	E068	ENSG00000187837
6:26050000-26060000	6:26054224-26057550	prom	E069	ENSG00000187837
6:26050000-26060000	6:26054224-26057550	prom	E070	ENSG00000187837
6:26050000-26060000	6:26054224-26057550	prom	E071	ENSG00000187837
6:26050000-26060000	6:26054224-26057550	prom	E072	ENSG00000187837
6:26050000-26060000	6:26054224-26057550	prom	E073	ENSG00000187837
6:26050000-26060000	6:26054224-26057550	prom	E074	ENSG00000187837
6:26050000-26060000	6:26054224-26057550	prom	E081	ENSG00000187837
6:26050000-26060000	6:26054224-26057550	prom	E082	ENSG00000187837
6:26080000-26090000	6:26087462-26089221	prom	E054	ENSG00000010704
6:26080000-26090000	6:26087462-26089221	prom	E067	ENSG00000010704
6:26080000-26090000	6:26087462-26089221	prom	E068	ENSG00000010704
6:26080000-26090000	6:26087462-26089221	prom	E069	ENSG00000010704
6:26080000-26090000	6:26087462-26089221	prom	E071	ENSG00000010704
6:26080000-26090000	6:26087462-26089221	prom	E072	ENSG00000010704
6:26080000-26090000	6:26087462-26089221	prom	E073	ENSG00000010704
6:26080000-26090000	6:26087462-26089221	prom	E074	ENSG00000010704
6:26080001-26120000	6:26087462-26089221	prom	E054	ENSG00000010704
6:26080001-26120000	6:26087462-26089221	prom	E067	ENSG00000010704
6:26080001-26120000	6:26087462-26089221	prom	E068	ENSG00000010704
6:26080001-26120000	6:26087462-26089221	prom	E069	ENSG00000010704
6:26080001-26120000	6:26087462-26089221	prom	E071	ENSG00000010704
6:26080001-26120000	6:26087462-26089221	prom	E072	ENSG00000010704
6:26080001-26120000	6:26087462-26089221	prom	E073	ENSG00000010704
6:26080001-26120000	6:26087462-26089221	prom	E074	ENSG00000010704
6:26080001-26120000	6:26103371-26104999	prom	E053	ENSG00000197061
6:26080001-26120000	6:26103371-26104999	prom	E054	ENSG00000197061
6:26080001-26120000	6:26103371-26104999	prom	E067	ENSG00000197061
6:26080001-26120000	6:26103371-26104999	prom	E068	ENSG00000197061
6:26080001-26120000	6:26103371-26104999	prom	E069	ENSG00000197061
6:26080001-26120000	6:26103371-26104999	prom	E070	ENSG00000197061
6:26080001-26120000	6:26103371-26104999	prom	E071	ENSG00000197061
6:26080001-26120000	6:26103371-26104999	prom	E072	ENSG00000197061
6:26080001-26120000	6:26103371-26104999	prom	E073	ENSG00000197061
6:26080001-26120000	6:26103371-26104999	prom	E074	ENSG00000197061
6:26080001-26120000	6:26103371-26104999	prom	E081	ENSG00000197061
6:26080001-26120000	6:26103371-26104999	prom	E082	ENSG00000197061
6:26100000-26110000	6:26103371-26104999	prom	E053	ENSG00000197061
6:26100000-26110000	6:26103371-26104999	prom	E054	ENSG00000197061
6:26100000-26110000	6:26103371-26104999	prom	E067	ENSG00000197061
6:26100000-26110000	6:26103371-26104999	prom	E068	ENSG00000197061
6:26100000-26110000	6:26103371-26104999	prom	E069	ENSG00000197061
6:26100000-26110000	6:26103371-26104999	prom	E070	ENSG00000197061
6:26100000-26110000	6:26103371-26104999	prom	E071	ENSG00000197061
6:26100000-26110000	6:26103371-26104999	prom	E072	ENSG00000197061
6:26100000-26110000	6:26103371-26104999	prom	E073	ENSG00000197061
6:26100000-26110000	6:26103371-26104999	prom	E074	ENSG00000197061
6:26100000-26110000	6:26103371-26104999	prom	E081	ENSG00000197061
6:26100000-26110000	6:26103371-26104999	prom	E082	ENSG00000197061
6:26150000-26160000	6:26155606-26160727	prom	E053	ENSG00000168298:ENSG00000158373
6:26150000-26160000	6:26155606-26160727	prom	E054	ENSG00000168298:ENSG00000158373
6:26150000-26160000	6:26155606-26160727	prom	E067	ENSG00000168298:ENSG00000158373
6:26150000-26160000	6:26155606-26160727	prom	E068	ENSG00000168298:ENSG00000158373
6:26150000-26160000	6:26155606-26160727	prom	E069	ENSG00000168298:ENSG00000158373
6:26150000-26160000	6:26155606-26160727	prom	E070	ENSG00000168298:ENSG00000158373
6:26150000-26160000	6:26155606-26160727	prom	E071	ENSG00000168298:ENSG00000158373
6:26150000-26160000	6:26155606-26160727	prom	E072	ENSG00000168298:ENSG00000158373
6:26150000-26160000	6:26155606-26160727	prom	E073	ENSG00000168298:ENSG00000158373
6:26150000-26160000	6:26155606-26160727	prom	E074	ENSG00000168298:ENSG00000158373
6:26150000-26160000	6:26155606-26160727	prom	E081	ENSG00000168298:ENSG00000158373
6:26150000-26160000	6:26155606-26160727	prom	E082	ENSG00000168298:ENSG00000158373
6:26160000-26170000	6:26155606-26160727	prom	E053	ENSG00000168298:ENSG00000158373
6:26160000-26170000	6:26155606-26160727	prom	E054	ENSG00000168298:ENSG00000158373
6:26160000-26170000	6:26155606-26160727	prom	E067	ENSG00000168298:ENSG00000158373
6:26160000-26170000	6:26155606-26160727	prom	E068	ENSG00000168298:ENSG00000158373
6:26160000-26170000	6:26155606-26160727	prom	E069	ENSG00000168298:ENSG00000158373
6:26160000-26170000	6:26155606-26160727	prom	E070	ENSG00000168298:ENSG00000158373
6:26160000-26170000	6:26155606-26160727	prom	E071	ENSG00000168298:ENSG00000158373
6:26160000-26170000	6:26155606-26160727	prom	E072	ENSG00000168298:ENSG00000158373
6:26160000-26170000	6:26155606-26160727	prom	E073	ENSG00000168298:ENSG00000158373
6:26160000-26170000	6:26155606-26160727	prom	E074	ENSG00000168298:ENSG00000158373
6:26160000-26170000	6:26155606-26160727	prom	E081	ENSG00000168298:ENSG00000158373
6:26160000-26170000	6:26155606-26160727	prom	E082	ENSG00000168298:ENSG00000158373
6:26160001-26200000	6:26155606-26160727	prom	E053	ENSG00000168298:ENSG00000158373
6:26160001-26200000	6:26155606-26160727	prom	E054	ENSG00000168298:ENSG00000158373
6:26160001-26200000	6:26155606-26160727	prom	E067	ENSG00000168298:ENSG00000158373
6:26160001-26200000	6:26155606-26160727	prom	E068	ENSG00000168298:ENSG00000158373
6:26160001-26200000	6:26155606-26160727	prom	E069	ENSG00000168298:ENSG00000158373
6:26160001-26200000	6:26155606-26160727	prom	E070	ENSG00000168298:ENSG00000158373
6:26160001-26200000	6:26155606-26160727	prom	E071	ENSG00000168298:ENSG00000158373
6:26160001-26200000	6:26155606-26160727	prom	E072	ENSG00000168298:ENSG00000158373
6:26160001-26200000	6:26155606-26160727	prom	E073	ENSG00000168298:ENSG00000158373
6:26160001-26200000	6:26155606-26160727	prom	E074	ENSG00000168298:ENSG00000158373
6:26160001-26200000	6:26155606-26160727	prom	E081	ENSG00000168298:ENSG00000158373
6:26160001-26200000	6:26155606-26160727	prom	E082	ENSG00000168298:ENSG00000158373
6:26160001-26200000	6:26171636-26172464	prom	E053	NA
6:26160001-26200000	6:26171636-26172464	prom	E054	NA
6:26160001-26200000	6:26171636-26172464	prom	E067	NA
6:26160001-26200000	6:26171636-26172464	prom	E068	NA
6:26160001-26200000	6:26171636-26172464	prom	E069	NA
6:26160001-26200000	6:26171636-26172464	prom	E070	NA
6:26160001-26200000	6:26171636-26172464	prom	E071	NA
6:26160001-26200000	6:26171636-26172464	prom	E072	NA
6:26160001-26200000	6:26171636-26172464	prom	E073	NA
6:26160001-26200000	6:26171636-26172464	prom	E074	NA
6:26160001-26200000	6:26171636-26172464	prom	E081	NA
6:26160001-26200000	6:26171636-26172464	prom	E082	NA
6:26160001-26200000	6:26172469-26173272	prom	E053	NA
6:26160001-26200000	6:26172469-26173272	prom	E054	NA
6:26160001-26200000	6:26172469-26173272	prom	E067	NA
6:26160001-26200000	6:26172469-26173272	prom	E068	NA
6:26160001-26200000	6:26172469-26173272	prom	E069	NA
6:26160001-26200000	6:26172469-26173272	prom	E070	NA
6:26160001-26200000	6:26172469-26173272	prom	E071	NA
6:26160001-26200000	6:26172469-26173272	prom	E072	NA
6:26160001-26200000	6:26172469-26173272	prom	E073	NA
6:26160001-26200000	6:26172469-26173272	prom	E074	NA
6:26160001-26200000	6:26172469-26173272	prom	E081	NA
6:26160001-26200000	6:26172469-26173272	prom	E082	NA
6:26160001-26200000	6:26173378-26173434	prom	E054	NA
6:26160001-26200000	6:26173378-26173434	prom	E067	NA
6:26160001-26200000	6:26173378-26173434	prom	E068	NA
6:26160001-26200000	6:26173378-26173434	prom	E070	NA
6:26160001-26200000	6:26173378-26173434	prom	E071	NA
6:26160001-26200000	6:26173378-26173434	prom	E072	NA
6:26160001-26200000	6:26173378-26173434	prom	E073	NA
6:26160001-26200000	6:26173378-26173434	prom	E074	NA
6:26160001-26200000	6:26173378-26173434	prom	E082	NA
6:26160001-26200000	6:26173523-26173862	prom	E067	NA
6:26160001-26200000	6:26173523-26173862	prom	E068	NA
6:26160001-26200000	6:26173523-26173862	prom	E071	NA
6:26160001-26200000	6:26173523-26173862	prom	E072	NA
6:26160001-26200000	6:26173523-26173862	prom	E073	NA
6:26160001-26200000	6:26173523-26173862	prom	E074	NA
6:26160001-26200000	6:26173523-26173862	prom	E082	NA
6:26160001-26200000	6:26183201-26183299	prom	E053	NA
6:26160001-26200000	6:26183201-26183299	prom	E070	NA
6:26160001-26200000	6:26183201-26183299	prom	E071	NA
6:26160001-26200000	6:26183201-26183299	prom	E081	NA
6:26160001-26200000	6:26183201-26183299	prom	E082	NA
6:26160001-26200000	6:26183322-26184772	prom	E053	ENSG00000197697
6:26160001-26200000	6:26183322-26184772	prom	E054	ENSG00000197697
6:26160001-26200000	6:26183322-26184772	prom	E067	ENSG00000197697
6:26160001-26200000	6:26183322-26184772	prom	E068	ENSG00000197697
6:26160001-26200000	6:26183322-26184772	prom	E069	ENSG00000197697
6:26160001-26200000	6:26183322-26184772	prom	E070	ENSG00000197697
6:26160001-26200000	6:26183322-26184772	prom	E071	ENSG00000197697
6:26160001-26200000	6:26183322-26184772	prom	E072	ENSG00000197697
6:26160001-26200000	6:26183322-26184772	prom	E073	ENSG00000197697
6:26160001-26200000	6:26183322-26184772	prom	E074	ENSG00000197697
6:26160001-26200000	6:26183322-26184772	prom	E081	ENSG00000197697
6:26160001-26200000	6:26183322-26184772	prom	E082	ENSG00000197697
6:26160001-26200000	6:26188060-26189669	prom	E053	ENSG00000188987
6:26160001-26200000	6:26188060-26189669	prom	E054	ENSG00000188987
6:26160001-26200000	6:26188060-26189669	prom	E067	ENSG00000188987
6:26160001-26200000	6:26188060-26189669	prom	E068	ENSG00000188987
6:26160001-26200000	6:26188060-26189669	prom	E069	ENSG00000188987
6:26160001-26200000	6:26188060-26189669	prom	E070	ENSG00000188987
6:26160001-26200000	6:26188060-26189669	prom	E071	ENSG00000188987
6:26160001-26200000	6:26188060-26189669	prom	E072	ENSG00000188987
6:26160001-26200000	6:26188060-26189669	prom	E073	ENSG00000188987
6:26160001-26200000	6:26188060-26189669	prom	E074	ENSG00000188987
6:26160001-26200000	6:26188060-26189669	prom	E081	ENSG00000188987
6:26160001-26200000	6:26188060-26189669	prom	E082	ENSG00000188987
6:26160001-26200000	6:26195051-26200863	prom	E053	ENSG00000196866:ENSG00000197409:ENSG00000197846
6:26160001-26200000	6:26195051-26200863	prom	E054	ENSG00000196866:ENSG00000197409:ENSG00000197846
6:26160001-26200000	6:26195051-26200863	prom	E067	ENSG00000196866:ENSG00000197409:ENSG00000197846
6:26160001-26200000	6:26195051-26200863	prom	E068	ENSG00000196866:ENSG00000197409:ENSG00000197846
6:26160001-26200000	6:26195051-26200863	prom	E069	ENSG00000196866:ENSG00000197409:ENSG00000197846
6:26160001-26200000	6:26195051-26200863	prom	E070	ENSG00000196866:ENSG00000197409:ENSG00000197846
6:26160001-26200000	6:26195051-26200863	prom	E071	ENSG00000196866:ENSG00000197409:ENSG00000197846
6:26160001-26200000	6:26195051-26200863	prom	E072	ENSG00000196866:ENSG00000197409:ENSG00000197846
6:26160001-26200000	6:26195051-26200863	prom	E073	ENSG00000196866:ENSG00000197409:ENSG00000197846
6:26160001-26200000	6:26195051-26200863	prom	E074	ENSG00000196866:ENSG00000197409:ENSG00000197846
6:26160001-26200000	6:26195051-26200863	prom	E081	ENSG00000196866:ENSG00000197409:ENSG00000197846
6:26160001-26200000	6:26195051-26200863	prom	E082	ENSG00000196866:ENSG00000197409:ENSG00000197846
6:26180000-26190000	6:26183201-26183299	prom	E053	NA
6:26180000-26190000	6:26183201-26183299	prom	E070	NA
6:26180000-26190000	6:26183201-26183299	prom	E071	NA
6:26180000-26190000	6:26183201-26183299	prom	E081	NA
6:26180000-26190000	6:26183201-26183299	prom	E082	NA
6:26180000-26190000	6:26183322-26184772	prom	E053	ENSG00000197697
6:26180000-26190000	6:26183322-26184772	prom	E054	ENSG00000197697
6:26180000-26190000	6:26183322-26184772	prom	E067	ENSG00000197697
6:26180000-26190000	6:26183322-26184772	prom	E068	ENSG00000197697
6:26180000-26190000	6:26183322-26184772	prom	E069	ENSG00000197697
6:26180000-26190000	6:26183322-26184772	prom	E070	ENSG00000197697
6:26180000-26190000	6:26183322-26184772	prom	E071	ENSG00000197697
