GenomicLocus	region1	region2	FDR	type	DB	tissue/cell	inter/intra	SNPs	genes	ciMapFilt
3	20:21100000-21110000	20:20640000-20650000	3.80515e-12	HiC	Giusti-Rodriguez_et_al_2019	Adult_Cortex	intra	rs6082329;rs6113140;rs6047261;rs1007226;rs6035785;rs5840900;rs6082331	NA	0
3	20:21100000-21110000	20:20800000-20810000	1.10409e-15	HiC	Giusti-Rodriguez_et_al_2019	Adult_Cortex	intra	rs6082329;rs6113140;rs6047261;rs1007226;rs6035785;rs5840900;rs6082331	NA	0
3	20:21100000-21110000	20:20810000-20820000	9.743338e-24	HiC	Giusti-Rodriguez_et_al_2019	Adult_Cortex	intra	rs6082329;rs6113140;rs6047261;rs1007226;rs6035785;rs5840900;rs6082331	NA	0
3	20:21100000-21110000	20:20820000-20830000	9.212425e-47	HiC	Giusti-Rodriguez_et_al_2019	Adult_Cortex	intra	rs6082329;rs6113140;rs6047261;rs1007226;rs6035785;rs5840900;rs6082331	NA	0
3	20:21100000-21110000	20:20830000-20840000	1.286712e-51	HiC	Giusti-Rodriguez_et_al_2019	Adult_Cortex	intra	rs6082329;rs6113140;rs6047261;rs1007226;rs6035785;rs5840900;rs6082331	NA	0
3	20:21100000-21110000	20:20840000-20850000	5.194629e-76	HiC	Giusti-Rodriguez_et_al_2019	Adult_Cortex	intra	rs6082329;rs6113140;rs6047261;rs1007226;rs6035785;rs5840900;rs6082331	NA	0
3	20:21110000-21120000	20:20820000-20830000	1.811295e-19	HiC	Giusti-Rodriguez_et_al_2019	Adult_Cortex	intra	rs6075769;rs2024937;chr20:21117240;rs6035787;rs138876063;rs6047268	NA	0
3	20:21110000-21120000	20:20840000-20850000	8.352926e-16	HiC	Giusti-Rodriguez_et_al_2019	Adult_Cortex	intra	rs6075769;rs2024937;chr20:21117240;rs6035787;rs138876063;rs6047268	NA	0
3	20:21120000-21130000	20:21100000-21110000	3.317771e-20	HiC	Giusti-Rodriguez_et_al_2019	Adult_Cortex	intra	rs4815021;rs2328607;rs2876594;rs6047269;rs6035788;rs6047270;rs10668799;rs1884762;rs4815022;rs11472686;rs3834757;rs6047271;rs3762194;rs3834756;rs1884763	NA	0
3	20:21160000-21170000	20:21100000-21110000	1.052455e-32	HiC	Giusti-Rodriguez_et_al_2019	Adult_Cortex	intra	rs6047299;rs4815030;rs2145100;rs8120377;rs8120293;rs555629116;rs57940584	NA	0
3	20:21280000-21290000	20:20830000-20840000	3.410652e-15	HiC	Giusti-Rodriguez_et_al_2019	Adult_Cortex	intra	rs6082377;rs73128969;rs56129736;rs7266341;rs112946551;rs202824;rs6035839	NA	0
3	20:21280000-21290000	20:20840000-20850000	4.88063e-15	HiC	Giusti-Rodriguez_et_al_2019	Adult_Cortex	intra	rs6082377;rs73128969;rs56129736;rs7266341;rs112946551;rs202824;rs6035839	NA	0
3	20:21280000-21290000	20:21100000-21110000	2.55061e-17	HiC	Giusti-Rodriguez_et_al_2019	Adult_Cortex	intra	rs6082377;rs73128969;rs56129736;rs7266341;rs112946551;rs202824;rs6035839	NA	0
3	20:20180000-20190000	20:20340000-20350000	6.162002e-38	HiC	Giusti-Rodriguez_et_al_2019	Fetal_Cortex	intra	rs180963572	ENSG00000173404	0
3	20:20180000-20190000	20:20350000-20360000	1.224856e-16	HiC	Giusti-Rodriguez_et_al_2019	Fetal_Cortex	intra	rs180963572	NA	0
3	20:21100000-21110000	20:21120000-21130000	3.068269e-17	HiC	Giusti-Rodriguez_et_al_2019	Fetal_Cortex	intra	rs6082329;rs6113140;rs6047261;rs1007226;rs6035785;rs5840900;rs6082331	NA	0
3	20:21100000-21110000	20:21230000-21240000	1.582158e-11	HiC	Giusti-Rodriguez_et_al_2019	Fetal_Cortex	intra	rs6082329;rs6113140;rs6047261;rs1007226;rs6035785;rs5840900;rs6082331	NA	0
3	20:21100000-21110000	20:21280000-21290000	1.056502e-13	HiC	Giusti-Rodriguez_et_al_2019	Fetal_Cortex	intra	rs6082329;rs6113140;rs6047261;rs1007226;rs6035785;rs5840900;rs6082331	ENSG00000088930	0
3	20:21100000-21110000	20:21370000-21380000	7.512899e-29	HiC	Giusti-Rodriguez_et_al_2019	Fetal_Cortex	intra	rs6082329;rs6113140;rs6047261;rs1007226;rs6035785;rs5840900;rs6082331	ENSG00000125816	0
3	20:21280000-21290000	20:21370000-21380000	7.995178e-12	HiC	Giusti-Rodriguez_et_al_2019	Fetal_Cortex	intra	rs6082377;rs73128969;rs56129736;rs7266341;rs112946551;rs202824;rs6035839	ENSG00000125816	0
3	20:21100000-21110000	20:21380000-21390000	3.044177e-17	HiC	Giusti-Rodriguez_et_al_2019	Fetal_Cortex	intra	rs6082329;rs6113140;rs6047261;rs1007226;rs6035785;rs5840900;rs6082331	NA	0
3	20:21100000-21110000	20:21670000-21680000	2.884981e-15	HiC	Giusti-Rodriguez_et_al_2019	Fetal_Cortex	intra	rs6082329;rs6113140;rs6047261;rs1007226;rs6035785;rs5840900;rs6082331	NA	0
3	20:21100000-21110000	20:21680000-21690000	4.110696e-13	HiC	Giusti-Rodriguez_et_al_2019	Fetal_Cortex	intra	rs6082329;rs6113140;rs6047261;rs1007226;rs6035785;rs5840900;rs6082331	ENSG00000125813	0
2	20:14700000-14710000	20:14310000-14320000	1.90496e-30	HiC	Giusti-Rodriguez_et_al_2019	Fetal_Cortex	intra	chr20:14701215;rs6074778;rs6074779;rs6079540;rs6079543	ENSG00000125848	0
2	20:14790000-14800000	20:14310000-14320000	1.094032e-44	HiC	Giusti-Rodriguez_et_al_2019	Fetal_Cortex	intra	rs139229207	ENSG00000125848	0
3	20:21100000-21110000	20:19980000-19990000	1.650111e-19	HiC	Giusti-Rodriguez_et_al_2019	Fetal_Cortex	intra	rs6082329;rs6113140;rs6047261;rs1007226;rs6035785;rs5840900;rs6082331	NA	0
3	20:21100000-21110000	20:20390000-20400000	8.129184e-14	HiC	Giusti-Rodriguez_et_al_2019	Fetal_Cortex	intra	rs6082329;rs6113140;rs6047261;rs1007226;rs6035785;rs5840900;rs6082331	NA	0
3	20:21100000-21110000	20:20970000-20980000	2.840734e-13	HiC	Giusti-Rodriguez_et_al_2019	Fetal_Cortex	intra	rs6082329;rs6113140;rs6047261;rs1007226;rs6035785;rs5840900;rs6082331	NA	0
3	20:21100000-21110000	20:21000000-21010000	1.180464e-11	HiC	Giusti-Rodriguez_et_al_2019	Fetal_Cortex	intra	rs6082329;rs6113140;rs6047261;rs1007226;rs6035785;rs5840900;rs6082331	NA	0
3	20:21100000-21110000	20:21020000-21030000	3.898241e-21	HiC	Giusti-Rodriguez_et_al_2019	Fetal_Cortex	intra	rs6082329;rs6113140;rs6047261;rs1007226;rs6035785;rs5840900;rs6082331	NA	0
3	20:21100000-21110000	20:21030000-21040000	3.016481e-13	HiC	Giusti-Rodriguez_et_al_2019	Fetal_Cortex	intra	rs6082329;rs6113140;rs6047261;rs1007226;rs6035785;rs5840900;rs6082331	NA	0
3	20:21120000-21130000	20:21100000-21110000	3.068269e-17	HiC	Giusti-Rodriguez_et_al_2019	Fetal_Cortex	intra	rs4815021;rs2328607;rs2876594;rs6047269;rs6035788;rs6047270;rs10668799;rs1884762;rs4815022;rs11472686;rs3834757;rs6047271;rs3762194;rs3834756;rs1884763	NA	0
3	20:21230000-21240000	20:21100000-21110000	1.582158e-11	HiC	Giusti-Rodriguez_et_al_2019	Fetal_Cortex	intra	rs6082358;rs1000177;rs1000176;rs112574344;rs73128919;rs6047332;rs4813420	NA	0
3	20:21280000-21290000	20:21100000-21110000	1.056502e-13	HiC	Giusti-Rodriguez_et_al_2019	Fetal_Cortex	intra	rs6082377;rs73128969;rs56129736;rs7266341;rs112946551;rs202824;rs6035839	NA	0
3	20:21370000-21380000	20:21100000-21110000	7.512899e-29	HiC	Giusti-Rodriguez_et_al_2019	Fetal_Cortex	intra	rs1555946;rs6075800;rs6035868;rs6047423	NA	0
3	20:21370000-21380000	20:21280000-21290000	7.995178e-12	HiC	Giusti-Rodriguez_et_al_2019	Fetal_Cortex	intra	rs1555946;rs6075800;rs6035868;rs6047423	ENSG00000088930	0
3	20:21380000-21390000	20:21100000-21110000	3.044177e-17	HiC	Giusti-Rodriguez_et_al_2019	Fetal_Cortex	intra	rs1409817;rs6035870;rs3062676;rs2031713;rs2031714;rs804368;rs809217	NA	0
3	20:21520001-21560000	20:20800001-20840000	2.904e-07	HiC	GSE87112	Hippocampus	intra	rs184218664;rs181547196	NA	0
3	20:21160001-21200000	20:20840001-20880000	2.755048e-07	HiC	GSE87112	Hippocampus	intra	rs6047299;rs4815030;rs2145100;rs8120377;rs8120293;rs555629116;rs57940584;rs765585;rs6132406;rs879064;rs552185666;rs1548254;rs754332;rs3827959;rs6137285;rs6137286;rs6137287;rs12625304;rs3790142;rs10568380;rs6113163;rs34527828;rs2236128;rs6137292;rs3748438;rs4305335;rs61279078;chr20:21199818;chr20:21199821;chr20:21199823;chr20:21199826;chr20:21199827;chr20:21199830;chr20:21199831	NA	0
2	20:14680001-14720000	20:14760001-14800000	2.825999e-10	HiC	GSE87112	Neural_Progenitor_Cell	intra	rs6079537;rs6074776;rs6074777;rs4814319;chr20:14701215;rs6074778;rs6074779;rs6079540;rs6079543;rs6079544;rs6074784;rs6079545;rs6079546;rs6079547;rs6514532;rs13038917	NA	0
2	20:14680001-14720000	20:14880001-14920000	9.50243e-07	HiC	GSE87112	Neural_Progenitor_Cell	intra	rs6079537;rs6074776;rs6074777;rs4814319;chr20:14701215;rs6074778;rs6074779;rs6079540;rs6079543;rs6079544;rs6074784;rs6079545;rs6079546;rs6079547;rs6514532;rs13038917	NA	0
2	20:14680001-14720000	20:15600001-15640000	2.27887e-09	HiC	GSE87112	Neural_Progenitor_Cell	intra	rs6079537;rs6074776;rs6074777;rs4814319;chr20:14701215;rs6074778;rs6074779;rs6079540;rs6079543;rs6079544;rs6074784;rs6079545;rs6079546;rs6079547;rs6514532;rs13038917	NA	0
2	20:14680001-14720000	20:15880001-15920000	4.189912e-08	HiC	GSE87112	Neural_Progenitor_Cell	intra	rs6079537;rs6074776;rs6074777;rs4814319;chr20:14701215;rs6074778;rs6074779;rs6079540;rs6079543;rs6079544;rs6074784;rs6079545;rs6079546;rs6079547;rs6514532;rs13038917	NA	0
2	20:14680001-14720000	20:16600001-16640000	6.248531e-08	HiC	GSE87112	Neural_Progenitor_Cell	intra	rs6079537;rs6074776;rs6074777;rs4814319;chr20:14701215;rs6074778;rs6074779;rs6079540;rs6079543;rs6079544;rs6074784;rs6079545;rs6079546;rs6079547;rs6514532;rs13038917	NA	0
2	20:14680001-14720000	20:16720001-16760000	1.812633e-07	HiC	GSE87112	Neural_Progenitor_Cell	intra	rs6079537;rs6074776;rs6074777;rs4814319;chr20:14701215;rs6074778;rs6074779;rs6079540;rs6079543;rs6079544;rs6074784;rs6079545;rs6079546;rs6079547;rs6514532;rs13038917	ENSG00000125879	1
2	20:14720001-14760000	20:14760001-14800000	2.461301e-07	HiC	GSE87112	Neural_Progenitor_Cell	intra	rs13044671;rs6074786;rs6074787;rs4278992;rs6074788;rs6079549;rs10446030;rs6074789;rs12481462;rs6079551;rs6110421;rs6042901;rs11087106;rs11087107;rs204092;rs6079553;rs4814324;rs204103;rs11087108;rs6079556;rs11473835;rs2180476;rs454775	NA	0
2	20:14720001-14760000	20:15360001-15400000	3.316208e-07	HiC	GSE87112	Neural_Progenitor_Cell	intra	rs13044671;rs6074786;rs6074787;rs4278992;rs6074788;rs6079549;rs10446030;rs6074789;rs12481462;rs6079551;rs6110421;rs6042901;rs11087106;rs11087107;rs204092;rs6079553;rs4814324;rs204103;rs11087108;rs6079556;rs11473835;rs2180476;rs454775	NA	0
2	20:14720001-14760000	20:15840001-15880000	3.057799e-08	HiC	GSE87112	Neural_Progenitor_Cell	intra	rs13044671;rs6074786;rs6074787;rs4278992;rs6074788;rs6079549;rs10446030;rs6074789;rs12481462;rs6079551;rs6110421;rs6042901;rs11087106;rs11087107;rs204092;rs6079553;rs4814324;rs204103;rs11087108;rs6079556;rs11473835;rs2180476;rs454775	NA	0
2	20:14760001-14800000	20:15280001-15320000	3.694671e-07	HiC	GSE87112	Neural_Progenitor_Cell	intra	rs2224274;rs2208082;rs6110430;rs6074798;rs6074799;rs980319;rs6079568;rs139229207	NA	0
2	20:14760001-14800000	20:15360001-15400000	9.964827e-07	HiC	GSE87112	Neural_Progenitor_Cell	intra	rs2224274;rs2208082;rs6110430;rs6074798;rs6074799;rs980319;rs6079568;rs139229207	NA	0
2	20:14760001-14800000	20:15600001-15640000	7.427922e-07	HiC	GSE87112	Neural_Progenitor_Cell	intra	rs2224274;rs2208082;rs6110430;rs6074798;rs6074799;rs980319;rs6079568;rs139229207	NA	0
2	20:14760001-14800000	20:15840001-15880000	5.96245e-08	HiC	GSE87112	Neural_Progenitor_Cell	intra	rs2224274;rs2208082;rs6110430;rs6074798;rs6074799;rs980319;rs6079568;rs139229207	NA	0
2	20:14760001-14800000	20:15880001-15920000	1.226575e-09	HiC	GSE87112	Neural_Progenitor_Cell	intra	rs2224274;rs2208082;rs6110430;rs6074798;rs6074799;rs980319;rs6079568;rs139229207	NA	0
2	20:14760001-14800000	20:16240001-16280000	6.558797e-07	HiC	GSE87112	Neural_Progenitor_Cell	intra	rs2224274;rs2208082;rs6110430;rs6074798;rs6074799;rs980319;rs6079568;rs139229207	NA	0
2	20:14760001-14800000	20:16360001-16400000	3.13629e-08	HiC	GSE87112	Neural_Progenitor_Cell	intra	rs2224274;rs2208082;rs6110430;rs6074798;rs6074799;rs980319;rs6079568;rs139229207	NA	0
2	20:14760001-14800000	20:16480001-16520000	3.235643e-07	HiC	GSE87112	Neural_Progenitor_Cell	intra	rs2224274;rs2208082;rs6110430;rs6074798;rs6074799;rs980319;rs6079568;rs139229207	NA	0
2	20:14800001-14840000	20:15600001-15640000	1.049767e-07	HiC	GSE87112	Neural_Progenitor_Cell	intra	rs11481126;rs71190156	NA	0
2	20:14800001-14840000	20:15840001-15880000	2.12268e-10	HiC	GSE87112	Neural_Progenitor_Cell	intra	rs11481126;rs71190156	NA	0
2	20:14800001-14840000	20:15880001-15920000	2.641983e-07	HiC	GSE87112	Neural_Progenitor_Cell	intra	rs11481126;rs71190156	NA	0
3	20:20080001-20120000	20:20360001-20400000	1.858815e-07	HiC	GSE87112	Neural_Progenitor_Cell	intra	rs180774423	NA	0
3	20:20080001-20120000	20:20560001-20600000	3.351765e-10	HiC	GSE87112	Neural_Progenitor_Cell	intra	rs180774423	NA	0
3	20:20120001-20160000	20:20520001-20560000	4.245402e-07	HiC	GSE87112	Neural_Progenitor_Cell	intra	rs528169295;rs542956852	NA	0
3	20:20640001-20680000	20:20800001-20840000	9.092945e-09	HiC	GSE87112	Neural_Progenitor_Cell	intra	rs547995362;rs145042689;rs568151952	NA	0
3	20:20640001-20680000	20:21560001-21600000	6.433356e-13	HiC	GSE87112	Neural_Progenitor_Cell	intra	rs547995362;rs145042689;rs568151952	NA	0
3	20:20880001-20920000	20:20960001-21000000	7.835494e-12	HiC	GSE87112	Neural_Progenitor_Cell	intra	rs189469421;rs191897822	NA	0
3	20:20880001-20920000	20:21000001-21040000	2.579228e-13	HiC	GSE87112	Neural_Progenitor_Cell	intra	rs189469421;rs191897822	NA	0
3	20:20880001-20920000	20:21040001-21080000	7.207615e-12	HiC	GSE87112	Neural_Progenitor_Cell	intra	rs189469421;rs191897822	NA	0
3	20:20880001-20920000	20:21080001-21120000	2.202737e-08	HiC	GSE87112	Neural_Progenitor_Cell	intra	rs189469421;rs191897822	NA	0
3	20:20880001-20920000	20:21120001-21160000	7.233708e-08	HiC	GSE87112	Neural_Progenitor_Cell	intra	rs189469421;rs191897822	NA	0
3	20:20880001-20920000	20:21360001-21400000	1.462917e-08	HiC	GSE87112	Neural_Progenitor_Cell	intra	rs189469421;rs191897822	ENSG00000125816	0
3	20:20880001-20920000	20:21560001-21600000	1.933136e-09	HiC	GSE87112	Neural_Progenitor_Cell	intra	rs189469421;rs191897822	NA	0
3	20:21080001-21120000	20:21360001-21400000	1.818143e-13	HiC	GSE87112	Neural_Progenitor_Cell	intra	rs6047255;rs6047256;rs6047257;rs6047258;rs6047259;rs6082329;rs6113140;rs6047261;rs1007226;rs6035785;rs5840900;rs6082331;rs6075769;rs2024937;chr20:21117240;rs6035787;rs138876063;rs6047268	ENSG00000125816	0
3	20:21080001-21120000	20:21480001-21520000	4.189882e-10	HiC	GSE87112	Neural_Progenitor_Cell	intra	rs6047255;rs6047256;rs6047257;rs6047258;rs6047259;rs6082329;rs6113140;rs6047261;rs1007226;rs6035785;rs5840900;rs6082331;rs6075769;rs2024937;chr20:21117240;rs6035787;rs138876063;rs6047268	ENSG00000125820	0
3	20:21160001-21200000	20:21360001-21400000	2.836864e-09	HiC	GSE87112	Neural_Progenitor_Cell	intra	rs6047299;rs4815030;rs2145100;rs8120377;rs8120293;rs555629116;rs57940584;rs765585;rs6132406;rs879064;rs552185666;rs1548254;rs754332;rs3827959;rs6137285;rs6137286;rs6137287;rs12625304;rs3790142;rs10568380;rs6113163;rs34527828;rs2236128;rs6137292;rs3748438;rs4305335;rs61279078;chr20:21199818;chr20:21199821;chr20:21199823;chr20:21199826;chr20:21199827;chr20:21199830;chr20:21199831	ENSG00000125816	1
3	20:21160001-21200000	20:21440001-21480000	2.756527e-11	HiC	GSE87112	Neural_Progenitor_Cell	intra	rs6047299;rs4815030;rs2145100;rs8120377;rs8120293;rs555629116;rs57940584;rs765585;rs6132406;rs879064;rs552185666;rs1548254;rs754332;rs3827959;rs6137285;rs6137286;rs6137287;rs12625304;rs3790142;rs10568380;rs6113163;rs34527828;rs2236128;rs6137292;rs3748438;rs4305335;rs61279078;chr20:21199818;chr20:21199821;chr20:21199823;chr20:21199826;chr20:21199827;chr20:21199830;chr20:21199831	NA	0
3	20:21200001-21240000	20:21360001-21400000	6.088591e-08	HiC	GSE87112	Neural_Progenitor_Cell	intra	rs6047310;rs4813418;rs6035811;rs6035813;rs11697462;rs6035814;rs181259764;rs6082351;rs2424352;rs6082353;rs6075780;rs6082354;rs6137297;rs6047319;rs6047320;rs6035817;rs11087349;rs61139213;rs2424353;rs13042216;rs1569959;rs2252714;rs2252720;rs5840910;rs2424354;rs4813419;rs2424355;rs6082358;rs1000177;rs1000176;rs112574344;rs73128919;rs6047332;rs4813420	ENSG00000125816	0
3	20:21280001-21320000	20:21360001-21400000	3.827185e-07	HiC	GSE87112	Neural_Progenitor_Cell	intra	rs6082377;rs73128969;rs56129736;rs7266341;rs112946551;rs202824;rs6035839;rs202826;rs6035840;rs6082384;rs6035841;rs6047370;rs6047371;rs2064758;rs1359761;rs202828;rs4813425;rs6047372;rs57699925;rs202829;rs6047374;rs6047375;rs1327153;rs138508870;rs111595332;rs202832;rs6047377;rs202834;rs1546996;rs1546997;rs1546998;rs202835;rs2296728;rs4813426;rs6047380;rs4496388;rs11477333;rs202837;rs202838;rs202840;rs202842	ENSG00000125816	0
3	20:21360001-21400000	20:21440001-21480000	7.961602e-07	HiC	GSE87112	Neural_Progenitor_Cell	intra	rs6047414;rs11476840;rs6047417;rs6035864;rs11473331;rs6035865;rs1555946;rs6075800;rs6035868;rs6047423;rs1409817;rs6035870;rs3062676;rs2031713;rs2031714;rs804368;rs809217;rs73132736;rs73132737;rs146798617;rs112611283;rs199952905	NA	0
3	20:21520001-21560000	20:21560001-21600000	2.461301e-07	HiC	GSE87112	Neural_Progenitor_Cell	intra	rs184218664;rs181547196	NA	0
3	20:21880001-21920000	20:21960001-22000000	7.947857e-09	HiC	GSE87112	Neural_Progenitor_Cell	intra	rs540536349	NA	0
3	20:21880001-21920000	20:22040001-22080000	3.671572e-07	HiC	GSE87112	Neural_Progenitor_Cell	intra	rs540536349	NA	0
2	20:14680001-14720000	20:14240001-14280000	2.471368e-07	HiC	GSE87112	Neural_Progenitor_Cell	intra	rs6079537;rs6074776;rs6074777;rs4814319;chr20:14701215;rs6074778;rs6074779;rs6079540;rs6079543;rs6079544;rs6074784;rs6079545;rs6079546;rs6079547;rs6514532;rs13038917	NA	0
2	20:14720001-14760000	20:14240001-14280000	4.891338e-08	HiC	GSE87112	Neural_Progenitor_Cell	intra	rs13044671;rs6074786;rs6074787;rs4278992;rs6074788;rs6079549;rs10446030;rs6074789;rs12481462;rs6079551;rs6110421;rs6042901;rs11087106;rs11087107;rs204092;rs6079553;rs4814324;rs204103;rs11087108;rs6079556;rs11473835;rs2180476;rs454775	NA	0
2	20:14680001-14720000	20:14280001-14320000	3.582772e-14	HiC	GSE87112	Neural_Progenitor_Cell	intra	rs6079537;rs6074776;rs6074777;rs4814319;chr20:14701215;rs6074778;rs6074779;rs6079540;rs6079543;rs6079544;rs6074784;rs6079545;rs6079546;rs6079547;rs6514532;rs13038917	ENSG00000125848	1
2	20:14720001-14760000	20:14280001-14320000	3.381233e-12	HiC	GSE87112	Neural_Progenitor_Cell	intra	rs13044671;rs6074786;rs6074787;rs4278992;rs6074788;rs6079549;rs10446030;rs6074789;rs12481462;rs6079551;rs6110421;rs6042901;rs11087106;rs11087107;rs204092;rs6079553;rs4814324;rs204103;rs11087108;rs6079556;rs11473835;rs2180476;rs454775	ENSG00000125848	0
2	20:14760001-14800000	20:14280001-14320000	3.351765e-10	HiC	GSE87112	Neural_Progenitor_Cell	intra	rs2224274;rs2208082;rs6110430;rs6074798;rs6074799;rs980319;rs6079568;rs139229207	ENSG00000125848	0
2	20:14800001-14840000	20:14280001-14320000	1.265975e-11	HiC	GSE87112	Neural_Progenitor_Cell	intra	rs11481126;rs71190156	ENSG00000125848	0
2	20:14680001-14720000	20:14320001-14360000	2.110657e-15	HiC	GSE87112	Neural_Progenitor_Cell	intra	rs6079537;rs6074776;rs6074777;rs4814319;chr20:14701215;rs6074778;rs6074779;rs6079540;rs6079543;rs6079544;rs6074784;rs6079545;rs6079546;rs6079547;rs6514532;rs13038917	NA	0
2	20:14680001-14720000	20:14360001-14400000	2.86528e-10	HiC	GSE87112	Neural_Progenitor_Cell	intra	rs6079537;rs6074776;rs6074777;rs4814319;chr20:14701215;rs6074778;rs6074779;rs6079540;rs6079543;rs6079544;rs6074784;rs6079545;rs6079546;rs6079547;rs6514532;rs13038917	NA	0
2	20:14760001-14800000	20:14360001-14400000	4.189882e-10	HiC	GSE87112	Neural_Progenitor_Cell	intra	rs2224274;rs2208082;rs6110430;rs6074798;rs6074799;rs980319;rs6079568;rs139229207	NA	0
2	20:14680001-14720000	20:14600001-14640000	7.961602e-07	HiC	GSE87112	Neural_Progenitor_Cell	intra	rs6079537;rs6074776;rs6074777;rs4814319;chr20:14701215;rs6074778;rs6074779;rs6079540;rs6079543;rs6079544;rs6074784;rs6079545;rs6079546;rs6079547;rs6514532;rs13038917	NA	0
2	20:14760001-14800000	20:14680001-14720000	2.825999e-10	HiC	GSE87112	Neural_Progenitor_Cell	intra	rs2224274;rs2208082;rs6110430;rs6074798;rs6074799;rs980319;rs6079568;rs139229207	NA	0
2	20:14760001-14800000	20:14720001-14760000	2.461301e-07	HiC	GSE87112	Neural_Progenitor_Cell	intra	rs2224274;rs2208082;rs6110430;rs6074798;rs6074799;rs980319;rs6079568;rs139229207	NA	0
3	20:21160001-21200000	20:20800001-20840000	3.320666e-09	HiC	GSE87112	Neural_Progenitor_Cell	intra	rs6047299;rs4815030;rs2145100;rs8120377;rs8120293;rs555629116;rs57940584;rs765585;rs6132406;rs879064;rs552185666;rs1548254;rs754332;rs3827959;rs6137285;rs6137286;rs6137287;rs12625304;rs3790142;rs10568380;rs6113163;rs34527828;rs2236128;rs6137292;rs3748438;rs4305335;rs61279078;chr20:21199818;chr20:21199821;chr20:21199823;chr20:21199826;chr20:21199827;chr20:21199830;chr20:21199831	NA	0
3	20:21320001-21360000	20:20800001-20840000	9.569792e-09	HiC	GSE87112	Neural_Progenitor_Cell	intra	rs1546995;rs141054974;rs6082391;rs202847;rs6035850;rs13043724;rs11474999;rs6047389;rs1958122;rs202851;rs6047395;rs6047396;rs6035852;rs6035853;rs73130930;rs6082393;rs6075794;rs2025811;rs3787500;rs1409816;rs4497932;rs713479;rs3848794;rs4815040;rs73130999;rs11467475;rs6047399;rs200418446;rs6075797;rs6082397;rs6047401;rs6047404;rs6035860;rs4815041;rs4815042;rs11479394;rs6047405;rs6035862;rs6047406;rs6047407;rs59239603;rs6047413	NA	0
