region2	reg_region	type	tissue/cell	genes
11:65640000-65650000	11:65641596-65641706	prom	E068	NA
11:65640000-65650000	11:65641596-65641706	prom	E069	NA
11:65640000-65650000	11:65641596-65641706	prom	E070	NA
11:65640000-65650000	11:65641596-65641706	prom	E072	NA
11:65640000-65650000	11:65641596-65641706	prom	E073	NA
11:65640000-65650000	11:65641596-65641706	prom	E074	NA
11:65640000-65650000	11:65641596-65641706	prom	E082	NA
11:65650000-65660000	11:65654960-65656944	prom	E053	ENSG00000172500
11:65650000-65660000	11:65654960-65656944	prom	E054	ENSG00000172500
11:65650000-65660000	11:65654960-65656944	prom	E067	ENSG00000172500
11:65650000-65660000	11:65654960-65656944	prom	E068	ENSG00000172500
11:65650000-65660000	11:65654960-65656944	prom	E069	ENSG00000172500
11:65650000-65660000	11:65654960-65656944	prom	E070	ENSG00000172500
11:65650000-65660000	11:65654960-65656944	prom	E071	ENSG00000172500
11:65650000-65660000	11:65654960-65656944	prom	E072	ENSG00000172500
11:65650000-65660000	11:65654960-65656944	prom	E073	ENSG00000172500
11:65650000-65660000	11:65654960-65656944	prom	E074	ENSG00000172500
11:65650000-65660000	11:65654960-65656944	prom	E081	ENSG00000172500
11:65650000-65660000	11:65654960-65656944	prom	E082	ENSG00000172500
11:65660000-65670000	11:65666492-65668553	prom	E054	ENSG00000175592
11:65660000-65670000	11:65666492-65668553	prom	E067	ENSG00000175592
11:65660000-65670000	11:65666492-65668553	prom	E068	ENSG00000175592
11:65660000-65670000	11:65666492-65668553	prom	E069	ENSG00000175592
11:65660000-65670000	11:65666492-65668553	prom	E071	ENSG00000175592
11:65660000-65670000	11:65666492-65668553	prom	E073	ENSG00000175592
11:65660000-65670000	11:65666492-65668553	prom	E074	ENSG00000175592
11:65660000-65670000	11:65666492-65668553	prom	E082	ENSG00000175592
11:65770000-65780000	11:65768992-65770710	prom	E053	ENSG00000175376:ENSG00000175334
11:65770000-65780000	11:65768992-65770710	prom	E054	ENSG00000175376:ENSG00000175334
11:65770000-65780000	11:65768992-65770710	prom	E067	ENSG00000175376:ENSG00000175334
11:65770000-65780000	11:65768992-65770710	prom	E068	ENSG00000175376:ENSG00000175334
11:65770000-65780000	11:65768992-65770710	prom	E069	ENSG00000175376:ENSG00000175334
11:65770000-65780000	11:65768992-65770710	prom	E070	ENSG00000175376:ENSG00000175334
11:65770000-65780000	11:65768992-65770710	prom	E071	ENSG00000175376:ENSG00000175334
11:65770000-65780000	11:65768992-65770710	prom	E072	ENSG00000175376:ENSG00000175334
11:65770000-65780000	11:65768992-65770710	prom	E073	ENSG00000175376:ENSG00000175334
11:65770000-65780000	11:65768992-65770710	prom	E074	ENSG00000175376:ENSG00000175334
11:65770000-65780000	11:65768992-65770710	prom	E081	ENSG00000175376:ENSG00000175334
11:65770000-65780000	11:65768992-65770710	prom	E082	ENSG00000175376:ENSG00000175334
11:65770000-65780000	11:65779334-65779793	prom	E071	ENSG00000175315
11:65770000-65780000	11:65779334-65779793	prom	E073	ENSG00000175315
11:65810000-65820000	11:65816093-65817012	prom	E053	ENSG00000175229
11:65810000-65820000	11:65816093-65817012	prom	E054	ENSG00000175229
11:65810000-65820000	11:65816093-65817012	prom	E067	ENSG00000175229
11:65810000-65820000	11:65816093-65817012	prom	E068	ENSG00000175229
11:65810000-65820000	11:65816093-65817012	prom	E069	ENSG00000175229
11:65810000-65820000	11:65816093-65817012	prom	E070	ENSG00000175229
11:65810000-65820000	11:65816093-65817012	prom	E071	ENSG00000175229
11:65810000-65820000	11:65816093-65817012	prom	E072	ENSG00000175229
11:65810000-65820000	11:65816093-65817012	prom	E073	ENSG00000175229
11:65810000-65820000	11:65816093-65817012	prom	E082	ENSG00000175229
11:65810000-65820000	11:65818156-65820690	prom	E053	ENSG00000087365
11:65810000-65820000	11:65818156-65820690	prom	E054	ENSG00000087365
11:65810000-65820000	11:65818156-65820690	prom	E067	ENSG00000087365
11:65810000-65820000	11:65818156-65820690	prom	E068	ENSG00000087365
11:65810000-65820000	11:65818156-65820690	prom	E069	ENSG00000087365
11:65810000-65820000	11:65818156-65820690	prom	E070	ENSG00000087365
11:65810000-65820000	11:65818156-65820690	prom	E071	ENSG00000087365
11:65810000-65820000	11:65818156-65820690	prom	E072	ENSG00000087365
11:65810000-65820000	11:65818156-65820690	prom	E073	ENSG00000087365
11:65810000-65820000	11:65818156-65820690	prom	E074	ENSG00000087365
11:65810000-65820000	11:65818156-65820690	prom	E081	ENSG00000087365
11:65810000-65820000	11:65818156-65820690	prom	E082	ENSG00000087365
11:65820000-65830000	11:65818156-65820690	prom	E053	ENSG00000087365
11:65820000-65830000	11:65818156-65820690	prom	E054	ENSG00000087365
11:65820000-65830000	11:65818156-65820690	prom	E067	ENSG00000087365
11:65820000-65830000	11:65818156-65820690	prom	E068	ENSG00000087365
11:65820000-65830000	11:65818156-65820690	prom	E069	ENSG00000087365
11:65820000-65830000	11:65818156-65820690	prom	E070	ENSG00000087365
11:65820000-65830000	11:65818156-65820690	prom	E071	ENSG00000087365
11:65820000-65830000	11:65818156-65820690	prom	E072	ENSG00000087365
11:65820000-65830000	11:65818156-65820690	prom	E073	ENSG00000087365
11:65820000-65830000	11:65818156-65820690	prom	E074	ENSG00000087365
11:65820000-65830000	11:65818156-65820690	prom	E081	ENSG00000087365
11:65820000-65830000	11:65818156-65820690	prom	E082	ENSG00000087365
11:65830000-65840000	11:65835232-65839476	prom	E067	ENSG00000255038:ENSG00000175115
11:65830000-65840000	11:65835232-65839476	prom	E068	ENSG00000255038:ENSG00000175115
11:65830000-65840000	11:65835232-65839476	prom	E069	ENSG00000255038:ENSG00000175115
11:65830000-65840000	11:65835232-65839476	prom	E070	ENSG00000255038:ENSG00000175115
11:65830000-65840000	11:65835232-65839476	prom	E071	ENSG00000255038:ENSG00000175115
11:65830000-65840000	11:65835232-65839476	prom	E072	ENSG00000255038:ENSG00000175115
11:65830000-65840000	11:65835232-65839476	prom	E073	ENSG00000255038:ENSG00000175115
11:65830000-65840000	11:65835232-65839476	prom	E074	ENSG00000255038:ENSG00000175115
11:65830000-65840000	11:65835232-65839476	prom	E082	ENSG00000255038:ENSG00000175115
11:66020000-66030000	11:66024066-66026423	prom	E053	ENSG00000174996
11:66020000-66030000	11:66024066-66026423	prom	E054	ENSG00000174996
11:66020000-66030000	11:66024066-66026423	prom	E067	ENSG00000174996
11:66020000-66030000	11:66024066-66026423	prom	E068	ENSG00000174996
11:66020000-66030000	11:66024066-66026423	prom	E069	ENSG00000174996
11:66020000-66030000	11:66024066-66026423	prom	E070	ENSG00000174996
11:66020000-66030000	11:66024066-66026423	prom	E071	ENSG00000174996
11:66020000-66030000	11:66024066-66026423	prom	E072	ENSG00000174996
11:66020000-66030000	11:66024066-66026423	prom	E073	ENSG00000174996
11:66020000-66030000	11:66024066-66026423	prom	E074	ENSG00000174996
11:66020000-66030000	11:66024066-66026423	prom	E082	ENSG00000174996
11:66030000-66040000	11:66034011-66037323	prom	E053	ENSG00000174903
11:66030000-66040000	11:66034011-66037323	prom	E054	ENSG00000174903
11:66030000-66040000	11:66034011-66037323	prom	E067	ENSG00000174903
11:66030000-66040000	11:66034011-66037323	prom	E068	ENSG00000174903
11:66030000-66040000	11:66034011-66037323	prom	E069	ENSG00000174903
11:66030000-66040000	11:66034011-66037323	prom	E070	ENSG00000174903
11:66030000-66040000	11:66034011-66037323	prom	E071	ENSG00000174903
11:66030000-66040000	11:66034011-66037323	prom	E072	ENSG00000174903
11:66030000-66040000	11:66034011-66037323	prom	E073	ENSG00000174903
11:66030000-66040000	11:66034011-66037323	prom	E074	ENSG00000174903
11:66030000-66040000	11:66034011-66037323	prom	E081	ENSG00000174903
11:66030000-66040000	11:66034011-66037323	prom	E082	ENSG00000174903
11:66040000-66050000	11:66045793-66045867	prom	E053	ENSG00000174871
11:66040000-66050000	11:66045793-66045867	prom	E054	ENSG00000174871
11:66040000-66050000	11:66045793-66045867	prom	E067	ENSG00000174871
11:66040000-66050000	11:66045793-66045867	prom	E068	ENSG00000174871
11:66040000-66050000	11:66045793-66045867	prom	E070	ENSG00000174871
11:66040000-66050000	11:66045793-66045867	prom	E071	ENSG00000174871
11:66040000-66050000	11:66045793-66045867	prom	E072	ENSG00000174871
11:66040000-66050000	11:66045793-66045867	prom	E082	ENSG00000174871
11:66040000-66050000	11:66045893-66046023	prom	E053	ENSG00000174871
11:66040000-66050000	11:66045893-66046023	prom	E054	ENSG00000174871
11:66040000-66050000	11:66045893-66046023	prom	E067	ENSG00000174871
11:66040000-66050000	11:66045893-66046023	prom	E068	ENSG00000174871
11:66040000-66050000	11:66045893-66046023	prom	E070	ENSG00000174871
11:66040000-66050000	11:66045893-66046023	prom	E071	ENSG00000174871
11:66040000-66050000	11:66045893-66046023	prom	E072	ENSG00000174871
11:66040000-66050000	11:66045893-66046023	prom	E073	ENSG00000174871
11:66040000-66050000	11:66045893-66046023	prom	E082	ENSG00000174871
11:66050000-66060000	11:66055210-66058154	prom	E053	ENSG00000174851
11:66050000-66060000	11:66055210-66058154	prom	E054	ENSG00000174851
11:66050000-66060000	11:66055210-66058154	prom	E067	ENSG00000174851
11:66050000-66060000	11:66055210-66058154	prom	E068	ENSG00000174851
11:66050000-66060000	11:66055210-66058154	prom	E069	ENSG00000174851
11:66050000-66060000	11:66055210-66058154	prom	E070	ENSG00000174851
11:66050000-66060000	11:66055210-66058154	prom	E071	ENSG00000174851
11:66050000-66060000	11:66055210-66058154	prom	E072	ENSG00000174851
11:66050000-66060000	11:66055210-66058154	prom	E073	ENSG00000174851
11:66050000-66060000	11:66055210-66058154	prom	E074	ENSG00000174851
11:66050000-66060000	11:66055210-66058154	prom	E082	ENSG00000174851
11:66050000-66060000	11:66058506-66058624	prom	E067	NA
11:66050000-66060000	11:66058506-66058624	prom	E068	NA
11:66050000-66060000	11:66058506-66058624	prom	E069	NA
11:66050000-66060000	11:66058506-66058624	prom	E071	NA
11:66050000-66060000	11:66058506-66058624	prom	E072	NA
11:66050000-66060000	11:66058506-66058624	prom	E073	NA
11:66050000-66060000	11:66058506-66058624	prom	E074	NA
11:66050000-66060000	11:66058506-66058624	prom	E082	NA
11:66050000-66060000	11:66058697-66059419	prom	E054	ENSG00000179292
11:66050000-66060000	11:66058697-66059419	prom	E067	ENSG00000179292
11:66050000-66060000	11:66058697-66059419	prom	E068	ENSG00000179292
11:66050000-66060000	11:66058697-66059419	prom	E069	ENSG00000179292
11:66050000-66060000	11:66058697-66059419	prom	E070	ENSG00000179292
11:66050000-66060000	11:66058697-66059419	prom	E071	ENSG00000179292
11:66050000-66060000	11:66058697-66059419	prom	E072	ENSG00000179292
11:66050000-66060000	11:66058697-66059419	prom	E073	ENSG00000179292
11:66050000-66060000	11:66058697-66059419	prom	E074	ENSG00000179292
11:66050000-66060000	11:66058697-66059419	prom	E082	ENSG00000179292
11:66050000-66060000	11:66059451-66059749	prom	E054	ENSG00000179292
11:66050000-66060000	11:66059451-66059749	prom	E067	ENSG00000179292
11:66050000-66060000	11:66059451-66059749	prom	E068	ENSG00000179292
11:66050000-66060000	11:66059451-66059749	prom	E069	ENSG00000179292
11:66050000-66060000	11:66059451-66059749	prom	E071	ENSG00000179292
11:66050000-66060000	11:66059451-66059749	prom	E072	ENSG00000179292
11:66050000-66060000	11:66059451-66059749	prom	E073	ENSG00000179292
11:66050000-66060000	11:66059451-66059749	prom	E074	ENSG00000179292
11:66050000-66060000	11:66059451-66059749	prom	E082	ENSG00000179292
11:66050000-66060000	11:66059775-66060769	prom	E067	ENSG00000179292
11:66050000-66060000	11:66059775-66060769	prom	E068	ENSG00000179292
11:66050000-66060000	11:66059775-66060769	prom	E069	ENSG00000179292
11:66050000-66060000	11:66059775-66060769	prom	E070	ENSG00000179292
11:66050000-66060000	11:66059775-66060769	prom	E071	ENSG00000179292
11:66050000-66060000	11:66059775-66060769	prom	E072	ENSG00000179292
11:66050000-66060000	11:66059775-66060769	prom	E073	ENSG00000179292
11:66050000-66060000	11:66059775-66060769	prom	E074	ENSG00000179292
11:66050000-66060000	11:66059775-66060769	prom	E082	ENSG00000179292
11:66060000-66070000	11:66059775-66060769	prom	E067	ENSG00000179292
11:66060000-66070000	11:66059775-66060769	prom	E068	ENSG00000179292
11:66060000-66070000	11:66059775-66060769	prom	E069	ENSG00000179292
11:66060000-66070000	11:66059775-66060769	prom	E070	ENSG00000179292
11:66060000-66070000	11:66059775-66060769	prom	E071	ENSG00000179292
11:66060000-66070000	11:66059775-66060769	prom	E072	ENSG00000179292
11:66060000-66070000	11:66059775-66060769	prom	E073	ENSG00000179292
11:66060000-66070000	11:66059775-66060769	prom	E074	ENSG00000179292
11:66060000-66070000	11:66059775-66060769	prom	E082	ENSG00000179292
11:66060000-66070000	11:66060772-66060928	prom	E067	NA
11:66060000-66070000	11:66060772-66060928	prom	E068	NA
11:66060000-66070000	11:66060772-66060928	prom	E071	NA
11:66060000-66070000	11:66060772-66060928	prom	E072	NA
11:66060000-66070000	11:66060772-66060928	prom	E074	NA
11:66060000-66070000	11:66060772-66060928	prom	E082	NA
11:66060000-66070000	11:66061011-66061393	prom	E067	NA
11:66060000-66070000	11:66061011-66061393	prom	E068	NA
11:66060000-66070000	11:66061011-66061393	prom	E072	NA
11:66060000-66070000	11:66061011-66061393	prom	E073	NA
11:66060000-66070000	11:66061011-66061393	prom	E074	NA
11:66060000-66070000	11:66061451-66061702	prom	E067	NA
11:66080000-66090000	11:66078952-66082092	prom	E053	NA
11:66080000-66090000	11:66078952-66082092	prom	E054	NA
11:66080000-66090000	11:66078952-66082092	prom	E067	NA
11:66080000-66090000	11:66078952-66082092	prom	E068	NA
11:66080000-66090000	11:66078952-66082092	prom	E069	NA
11:66080000-66090000	11:66078952-66082092	prom	E070	NA
11:66080000-66090000	11:66078952-66082092	prom	E071	NA
11:66080000-66090000	11:66078952-66082092	prom	E072	NA
11:66080000-66090000	11:66078952-66082092	prom	E073	NA
11:66080000-66090000	11:66078952-66082092	prom	E074	NA
11:66080000-66090000	11:66078952-66082092	prom	E082	NA
11:66080000-66090000	11:66083311-66083637	prom	E073	NA
11:66110000-66120000	11:66114418-66116158	prom	E053	ENSG00000174684:ENSG00000255468
11:66110000-66120000	11:66114418-66116158	prom	E054	ENSG00000174684:ENSG00000255468
